Categorie: Alle categorieën

Maand,XMR: (Wereldwijd)
2009-01,2
2009-02,2
2009-03,2
2009-04,1
2009-05,2
2009-06,1
2009-07,1
2009-08,1
2009-09,2
2009-10,2
2009-11,1
2009-12,2
2010-01,2
2010-02,2
2010-03,1
2010-04,1
2010-05,1
2010-06,1
2010-07,1
2010-08,1
2010-09,2
2010-10,2
2010-11,2
2010-12,2
2011-01,2
2011-02,2
2011-03,2
2011-04,2
2011-05,2
2011-06,2
2011-07,2
2011-08,2
2011-09,2
2011-10,2
2011-11,2
2011-12,2
2012-01,2
2012-02,2
2012-03,2
2012-04,2
2012-05,2
2012-06,3
2012-07,2
2012-08,2
2012-09,3
2012-10,3
2012-11,3
2012-12,3
2013-01,3
2013-02,4
2013-03,4
2013-04,4
2013-05,4
2013-06,4
2013-07,3
2013-08,3
2013-09,4
2013-10,3
2013-11,4
2013-12,4
2014-01,4
2014-02,4
2014-03,5
2014-04,6
2014-05,6
2014-06,6
2014-07,6
2014-08,6
2014-09,5
2014-10,5
2014-11,4
2014-12,5
2015-01,5
2015-02,5
2015-03,7
2015-04,7
2015-05,6
2015-06,5
2015-07,5
2015-08,5
2015-09,6
2015-10,6
2015-11,5
2015-12,5
2016-01,6
2016-02,7
2016-03,8
2016-04,8
2016-05,8
2016-06,7
2016-07,7
2016-08,9
2016-09,12
2016-10,8
2016-11,8
2016-12,9
2017-01,12
2017-02,11
2017-03,12
2017-04,12
2017-05,16
2017-06,21
2017-07,19
2017-08,28
2017-09,30
2017-10,26
2017-11,41
2017-12,100
2018-01,75
2018-02,40
2018-03,31
2018-04,35
2018-05,28
2018-06,21
2018-07,19
2018-08,18
2018-09,18
2018-10,16
2018-11,14
2018-12,13
2019-01,14
2019-02,14
2019-03,15
2019-04,13
2019-05,14
2019-06,14
2019-07,14
2019-08,12
2019-09,12
2019-10,11
2019-11,11
2019-12,11
2020-01,11
2020-02,13
2020-03,13
2020-04,16
2020-05,19
2020-06,15
2020-07,16
2020-08,16
2020-09,15
2020-10,16
2020-11,15
2020-12,18
2021-01,27
2021-02,31
2021-03,29
2021-04,36
2021-05,38
2021-06,24
2021-07,17
2021-08,21
2021-09,17
2021-10,19
2021-11,20
2021-12,20
2022-01,29
2022-02,27
2022-03,27
2022-04,28
2022-05,27
2022-06,25
2022-07,24
2022-08,23
2022-09,19
2022-10,18
2022-11,24
2022-12,27
2023-01,25
2023-02,31
2023-03,34
2023-04,37
2023-05,36
2023-06,30
2023-07,29
2023-08,87
2023-09,64
2023-10,32
2023-11,29
2023-12,32
2024-01,31
2024-02,46
2024-03,36
2024-04,33
2024-05,32
2024-06,30
2024-07,26
2024-08,28
2024-09,27
2024-10,27
2024-11,33
2024-12,36
2025-01,34
2025-02,32
2025-03,32
2025-04,33
2025-05,36
