TIMESTAMP,ETH_OPEN_PRICE_USDT,ETH_HIGH_PRICE_USDT,ETH_LOW_PRICE_USDT,ETH_CLOSE_PRICE_USDT,ETH_FIRST_TRADE_PRICE_USDT,ETH_HIGH_TRADE_PRICE_USDT,ETH_LOW_TRADE_PRICE_USDT,ETH_LAST_TRADE_PRICE_USDT,ETH_TOTAL_TRADE_COUNT,ETH_TOTAL_TRADES_BUY,ETH_TOTAL_TRADES_SELL,ETH_VOLUME_USDT,ETH_QUOTE_VOLUME,ETH_VOLUME_BUY,ETH_QUOTE_VOLUME_BUY,ETH_VOLUME_SELL,ETH_QUOTE_VOLUME_SELL
2017-08-17,301.13,312.18,298.0,302.0,301.13,312.18,298.0,302.0,4522,3951,571,7030.71034,2154655.3003566,6224.58999,1908705.3685302,806.12035,245949.9318264
2017-08-18,302.0,311.79,283.94,293.96,302.0,311.79,283.94,293.96,5658,4187,1471,9537.84646,2858946.5093539,7452.43542,2240813.2612264,2085.41104,618133.2481275
2017-08-19,293.96,299.9,278.0,290.91,293.31,299.9,278.0,290.91,1795,1278,517,2146.19773,620022.5898617,1537.9755,444713.6122086,608.22223,175308.9776531
2017-08-20,290.91,300.53,282.85,299.1,289.41,300.53,282.85,299.1,2038,1701,337,2510.13871,742847.8945599,2186.68739,647506.0620205,323.45132,95341.8325394
2017-08-21,299.1,346.52,294.6,323.29,299.1,346.52,294.6,323.29,3925,2855,1070,5219.44542,1689472.341214,4004.19967,1297977.4231142,1215.24575,391494.9180998
2017-08-22,323.29,330.41,144.21,309.8,321.04,330.41,144.21,309.8,6577,4172,2405,7956.35088,2454425.8033137,4433.78132,1364472.488333,3522.56956,1089953.3149807
2017-08-23,309.8,324.99,309.41,315.74,312.25,324.99,309.41,315.74,8540,2358,6182,8665.72569,2753464.9450408,2282.23633,728206.9176149,6383.48936,2025258.0274259
2017-08-24,315.74,328.04,314.01,323.42,315.74,328.04,314.01,323.42,6495,2114,4381,6753.27192,2159417.1141537,1901.90029,610929.1471679,4851.37163,1548487.9669858
2017-08-25,323.42,338.28,323.42,327.24,323.42,338.28,323.42,327.24,7452,4179,3273,7125.96962,2354162.038294,2595.82561,859314.6835184,4530.14401,1494847.3547756
2017-08-26,327.24,335.44,323.41,330.79,327.24,335.44,323.41,330.79,4400,1023,3377,4877.68521,1601994.3773166,941.99655,311132.2631003,3935.68866,1290862.1142163
2017-08-27,330.79,348.13,330.73,348.13,332.18,348.13,330.73,348.13,4973,1752,3221,4635.43715,1554477.3581603,1166.20029,392130.1151986,3469.23686,1162347.2429617
2017-08-28,348.13,351.0,331.95,346.0,348.13,351.0,331.95,346.0,4526,1527,2999,4279.1817,1463758.1691041,1114.26279,383473.9889103,3164.91891,1080284.1801938
2017-08-29,346.0,377.6,346.0,374.7,347.0,377.6,346.0,374.7,3265,1023,2242,3032.13425,1102069.6205809,923.16784,334768.8104693,2108.96641,767300.8101116
2017-08-30,374.7,393.71,362.05,385.93,374.7,393.71,362.05,385.93,4812,1099,3713,4446.59608,1679526.2125115,1285.37799,487837.7447577,3161.21809,1191688.4677538
2017-08-31,385.93,389.36,377.78,384.79,384.64,389.36,377.78,384.79,4574,1339,3235,4435.86855,1704441.3942666,1432.19381,550808.610884,3003.67474,1153632.7833826
2017-09-01,384.79,394.39,383.18,388.46,384.88,394.39,383.18,388.46,4124,1453,2671,4198.68434,1635227.6137661,1564.05531,609630.9497713,2634.62903,1025596.6639948
2017-09-02,388.46,394.32,320.08,343.14,388.58,394.32,320.08,343.14,8217,2121,6096,8240.32724,2904008.4613861,2460.66776,868487.2833919,5779.65948,2035521.1779942
2017-09-03,343.14,367.28,320.08,341.77,343.56,367.28,320.08,341.77,6153,2143,4010,5253.62211,1801702.6178029,2240.91753,767938.2521776,3012.70458,1033764.3656253
