TIMESTAMP,HVCO_CLOSE_PRICE_USD,HVCO_OPEN_PRICE_USD,HVCO_HIGH_PRICE_USD,HVCO_LOW_PRICE_USD
2018-03-02,0.02277,0.025022,0.025615,0.022622
2018-03-03,0.029934,0.02282,0.030381,0.02282
2018-03-04,0.030035,0.029903,0.030388,0.028983
2018-03-05,0.028489,0.030035,0.030351,0.028489
2018-03-06,0.023161,0.028489,0.028489,0.022857
2018-03-07,0.022381,0.023161,0.02354,0.020285
2018-03-08,0.020039,0.022381,0.0227,0.019401
2018-03-09,0.019316,0.020039,0.0203,0.018079
2018-03-10,0.018125,0.019316,0.020209,0.018033
2018-03-11,0.020685,0.018125,0.021173,0.017449
2018-03-12,0.019653,0.020685,0.021515,0.019058
2018-03-13,0.030739,0.019653,0.031311,0.019298
2018-03-14,0.057538,0.030739,0.057647,0.028721
2018-03-15,0.096698,0.057538,0.098814,0.043046
2018-03-16,0.105763,0.096698,0.124679,0.089449
2018-03-17,0.121163,0.105763,0.123475,0.09014
2018-03-18,0.175681,0.121163,0.20038,0.105722
2018-03-19,0.223254,0.175681,0.241415,0.162731
2018-03-20,0.253314,0.223254,0.272128,0.218633
2018-03-21,0.283686,0.253314,0.299313,0.247088
2018-03-22,0.562239,0.283686,0.727069,0.274973
2018-03-23,0.256699,0.562239,0.609586,0.222466
2018-03-24,0.326472,0.256699,0.565353,0.253167
2018-03-25,0.180348,0.326472,0.395613,0.171119
2018-03-26,0.151055,0.180348,0.190277,0.106288
2018-03-27,0.129018,0.150634,0.208572,0.128788
2018-03-28,0.14381,0.129018,0.153642,0.120375
2018-03-29,0.220035,0.14381,0.261499,0.143649
2018-03-30,0.255147,0.220035,0.262891,0.139586
2018-03-31,0.355021,0.255147,0.410451,0.248588
2018-04-01,0.349496,0.355021,0.368149,0.305561
2018-04-02,0.333592,0.349496,0.382037,0.309242
2018-04-03,0.353017,0.333592,0.372046,0.323295
2018-04-04,0.300679,0.353017,0.353017,0.296672
2018-04-05,0.349719,0.300679,0.382556,0.246782
2018-04-06,0.316258,0.349719,0.369424,0.250875
2018-04-07,0.403609,0.316258,0.42017,0.315569
2018-04-08,0.409266,0.403609,0.421856,0.39389
2018-04-09,0.399324,0.409266,0.428238,0.386511
2018-04-10,0.417339,0.399459,0.421352,0.391758
2018-04-11,0.634343,0.417339,0.656957,0.414255
2018-04-12,0.810942,0.633947,0.843477,0.618838
2018-04-13,1.123818,0.810942,1.153899,0.72949
2018-04-14,1.51541,1.123818,1.803654,1.108135
2018-04-15,1.136428,1.51541,1.661447,0.865345
2018-04-16,1.347418,1.136428,1.494831,1.099284
2018-04-17,1.394863,1.34774,1.485628,1.301598
2018-04-18,1.173704,1.394863,1.477162,1.059372
2018-04-19,0.897766,1.173704,1.319077,0.8686
2018-04-20,0.696842,0.897766,1.017257,0.574185
2018-04-21,0.575415,0.696842,0.865492,0.391133
2018-04-22,0.291491,0.575415,0.652262,0.18826
2018-04-23,0.245843,0.291491,0.303389,0.210642
2018-04-24,0.173776,0.245843,0.266578,0.14044
2018-04-25,0.100515,0.173374,0.188442,0.099761
2018-04-26,0.120433,0.101314,0.132362,0.096695
2018-04-27,0.114608,0.119539,0.149555,0.114282
2018-04-28,0.109695,0.114608,0.125046,0.106732
2018-04-29,0.103195,0.109695,0.120641,0.0898
2018-04-30,0.111804,0.103195,0.142127,0.097775
2018-05-01,0.094374,0.111804,0.111835,0.090074
2018-05-02,0.095401,0.094288,0.106753,0.065804
2018-05-03,0.091509,0.095401,0.096652,0.072507
2018-05-04,0.080235,0.091455,0.091455,0.070352
2018-05-05,0.077249,0.080235,0.083482,0.077059
2018-05-06,0.069014,0.07734,0.079005,0.066032
2018-05-07,0.073873,0.069014,0.078153,0.065547
2018-05-08,0.075269,0.115676,0.119251,1.2e-05
2018-05-09,0.067324,0.07522,0.077738,0.06437
2018-05-10,0.063492,0.067324,0.068276,0.063383
2018-05-11,0.067013,0.063492,0.067722,0.061619
2018-05-12,0.066884,0.067013,0.073203,0.064091
2018-05-13,0.064996,0.066994,0.067569,0.063186
2018-05-14,0.061363,0.064996,0.06512,0.05948
2018-05-15,0.062776,0.061358,0.067451,0.059115
2018-05-16,0.059931,0.06269,0.07103,0.057829
2018-05-17,0.066989,0.059983,0.069687,0.058178
2018-05-18,0.064099,0.066901,0.068794,0.060958
2018-05-19,0.061388,0.064099,0.067555,0.060906
2018-05-20,0.06354,0.061388,0.063986,0.058597
2018-05-21,0.059397,0.06354,0.063703,0.057459
2018-05-22,0.057136,0.059397,0.059397,0.057037
2018-05-23,0.055041,0.057116,0.057666,0.054198
2018-05-24,0.054562,0.055,0.05683,0.052847
2018-05-25,0.049558,0.054585,0.054585,0.048885
2018-05-26,0.045649,0.049549,0.050306,0.042966
2018-05-27,0.042386,0.04566,0.046707,0.041163
2018-05-28,0.041037,0.04224,0.043095,0.040733
2018-05-29,0.043059,0.041062,0.043545,0.040628
2018-05-30,0.041522,0.043112,0.044104,0.041013
2018-05-31,0.046379,0.041504,0.047555,0.041313
2018-06-01,0.041291,0.046375,0.057077,0.035793
2018-06-02,0.055949,0.041324,0.056848,0.040263
2018-06-03,0.057152,0.054307,0.05882,0.054128
2018-06-04,0.052499,0.055416,0.055696,0.052157
2018-06-05,0.053237,0.052461,0.053547,0.051599
2018-06-06,0.049021,0.053283,0.05348,0.048325
2018-06-07,0.047402,0.049024,0.049829,0.046311
2018-06-08,0.05125,0.047383,0.05297,0.046236
2018-06-09,0.051351,0.051212,0.053264,0.0511
2018-06-10,0.043908,0.051365,0.051544,0.040139
2018-06-11,0.043167,0.043925,0.04456,0.04179
2018-06-12,0.04825,0.043146,0.048626,0.042619
2018-06-13,0.044637,0.048262,0.050856,0.042509
2018-06-14,0.04826,0.044663,0.050904,0.040368
2018-06-15,0.047514,0.048353,0.049042,0.043059
2018-06-16,0.045596,0.047536,0.048498,0.043741
2018-06-17,0.052211,0.045604,0.052823,0.045604
2018-06-18,0.052633,0.052221,0.053327,0.050333
2018-06-19,0.060357,0.052651,0.06162,0.052405
2018-06-20,0.055807,0.060289,0.060403,0.052443
2018-06-21,0.054748,0.055804,0.05593,0.054554
2018-06-22,0.048099,0.054751,0.054888,0.047408
2018-06-23,0.051061,0.048098,0.051898,0.047584
2018-06-24,0.051613,0.051128,0.052374,0.048472
2018-06-25,0.05244,0.051596,0.053298,0.051332
2018-06-26,0.049869,0.052474,0.052552,0.049602
2018-06-27,0.049371,0.049712,0.050104,0.04821
2018-06-28,0.046694,0.049375,0.049625,0.046494
2018-06-29,0.048424,0.046619,0.04893,0.045396
2018-06-30,0.059953,0.048384,0.06021,0.048384
2018-07-01,0.059052,0.059952,0.060623,0.05763
2018-07-02,0.060319,0.059046,0.060736,1e-06
2018-07-03,0.067209,0.060319,0.091419,0.000815
2018-07-04,0.071666,0.067209,0.087864,0.061748
2018-07-05,0.06344,0.071666,0.075386,0.062684
2018-07-06,0.068324,0.06344,0.068474,0.062839
2018-07-07,0.081209,0.068324,0.09044,0.064677
2018-07-08,0.070937,0.081209,0.090613,0.068074
2018-07-09,0.068965,0.070937,0.071468,0.068661
2018-07-10,0.06849,0.068965,0.07028,0.067013
2018-07-11,0.073153,0.06849,0.076027,0.068289
2018-07-12,0.064494,0.073153,0.073153,0.062352
2018-07-13,0.064751,0.064494,0.065821,0.063902
