TIMESTAMP,NEOS_CLOSE_PRICE_USD,NEOS_OPEN_PRICE_USD,NEOS_HIGH_PRICE_USD,NEOS_LOW_PRICE_USD
2018-05-01,3.59845,4.02812,4.02812,3.52066
2018-05-02,3.68687,3.58898,3.84992,3.58745
2018-05-03,3.73194,3.68794,3.88354,3.63567
2018-05-04,3.66552,3.7272,3.8499,3.60468
2018-05-05,3.58555,3.6635,3.82743,3.54386
2018-05-06,3.55524,3.58939,3.63129,3.46107
2018-05-07,3.42555,3.55829,3.61028,3.37782
2018-05-08,3.32318,3.41512,3.47485,0.00037
2018-05-09,3.3482,3.31769,3.38903,3.22142
2018-05-10,3.28359,3.34877,3.45934,3.25928
2018-05-11,2.93581,3.28086,3.28086,2.77556
2018-05-12,2.78423,2.94284,2.97854,2.72594
2018-05-13,2.96548,2.78353,3.03213,2.72931
2018-05-14,3.02428,2.92867,3.08436,2.71925
2018-05-15,2.83308,3.02404,3.08366,2.81313
2018-05-16,2.71621,2.83305,2.85096,2.58767
2018-05-17,2.78154,2.71856,2.85689,2.66949
2018-05-18,2.73443,2.77788,2.8749,2.69531
2018-05-19,2.68968,2.73644,2.78087,2.65252
2018-05-20,2.76144,2.68679,2.79637,2.62319
2018-05-21,2.65822,2.7613,2.78537,2.65486
2018-05-22,2.5405,2.65797,2.72773,2.53079
2018-05-23,2.39148,2.53961,2.55025,2.36206
2018-05-24,2.39878,2.38967,2.50439,2.2959
2018-05-25,2.37293,2.39979,2.45182,2.31115
2018-05-26,2.33255,2.35267,2.42257,2.32004
2018-05-27,2.31911,2.33307,2.35176,2.29191
2018-05-28,2.15115,2.31911,2.34696,2.14413
2018-05-29,2.33928,2.15249,2.35663,2.09337
2018-05-30,2.15771,2.34207,2.37175,2.12851
2018-05-31,2.22942,2.15745,2.43091,2.148
2018-06-01,2.26034,2.22929,2.32883,2.14148
2018-06-02,2.2994,2.26004,2.31211,2.20587
2018-06-03,2.30523,2.29765,2.35356,2.26636
2018-06-04,2.14955,2.3053,2.31936,2.12245
2018-06-05,2.15544,2.14797,2.17887,2.08544
2018-06-06,2.15285,2.15728,2.18312,2.09403
2018-06-07,2.15168,2.15294,2.18589,2.13509
2018-06-08,2.13723,2.15074,2.16704,2.10471
2018-06-09,2.0651,2.13726,2.16047,2.05817
2018-06-10,1.86957,2.06566,2.06566,1.83894
2018-06-11,1.89208,1.87173,1.90147,1.82868
