TIMESTAMP,NOBL_CLOSE_PRICE_USD,NOBL_OPEN_PRICE_USD,NOBL_HIGH_PRICE_USD,NOBL_LOW_PRICE_USD
2018-03-01,0.000927,0.000877,0.000942,0.000877
2018-03-02,0.000826,0.000928,0.000951,0.000808
2018-03-03,0.000972,0.000827,0.000979,0.000827
2018-03-04,0.000978,0.000972,0.000981,0.000831
2018-03-05,0.000862,0.000978,0.000994,0.000859
2018-03-06,0.000805,0.000854,0.000929,0.000794
2018-03-07,0.000741,0.000804,0.000926,0.000708
2018-03-08,0.000697,0.000742,0.000756,0.000678
2018-03-09,0.000691,0.000697,0.000706,0.000626
2018-03-10,0.000657,0.000691,0.000712,0.000653
2018-03-11,0.000713,0.000657,0.000728,0.000632
2018-03-12,0.000683,0.000714,0.000742,0.00061
2018-03-13,0.000685,0.000684,0.000708,0.000575
2018-03-14,0.000615,0.000685,0.000701,0.000594
2018-03-15,0.000619,0.000613,0.00063,0.000576
2018-03-16,0.000539,0.00062,0.000644,0.000526
2018-03-17,0.000512,0.000536,0.000542,0.000504
2018-03-18,0.000616,0.00051,0.00062,0.000476
2018-03-19,0.000645,0.000616,0.000652,0.000608
2018-03-20,0.000756,0.000644,0.000767,0.000634
2018-03-21,0.001559,0.000757,0.002268,0.000753
2018-03-22,0.001569,0.001468,0.0023,0.001341
2018-03-23,0.001822,0.001609,0.001938,0.001562
2018-03-24,0.001402,0.001827,0.001834,0.001402
2018-03-25,0.001224,0.001407,0.00152,0.001219
2018-03-26,0.001259,0.001224,0.001305,0.000986
2018-03-27,0.001207,0.001263,0.00127,0.001023
2018-03-28,0.001269,0.001205,0.001462,0.001198
2018-03-29,0.001027,0.001271,0.001382,0.001
2018-03-30,0.000925,0.001028,0.001581,0.000918
2018-03-31,0.000933,0.000923,0.001099,0.000923
2018-04-01,0.000851,0.000935,0.000948,0.000734
2018-04-02,0.00067,0.000852,0.000936,0.00067
2018-04-03,0.00063,0.00067,0.00078,0.000626
2018-04-04,0.000645,0.000629,0.000649,0.000569
2018-04-05,0.000644,0.000645,0.000656,0.000563
2018-04-06,0.000627,0.000643,0.000711,0.000618
2018-04-07,0.000655,0.000628,0.000665,0.000577
2018-04-08,0.000666,0.000655,0.000671,0.000589
2018-04-09,0.000643,0.000667,0.00068,0.000567
2018-04-10,0.00065,0.000643,0.000655,0.000632
2018-04-11,0.00073,0.00065,0.000732,0.000578
2018-04-12,0.000753,0.000729,0.000847,0.000652
2018-04-13,0.000748,0.000752,0.000848,0.000737
2018-04-14,0.00076,0.000749,0.000777,0.000743
2018-04-15,0.000795,0.00076,0.0008,0.00076
2018-04-16,0.000764,0.000794,0.000799,0.000672
2018-04-17,0.000907,0.000765,0.000934,0.000757
2018-04-18,0.000816,0.000907,0.000911,0.000778
2018-04-19,0.001036,0.000817,0.001195,0.000772
2018-04-20,0.00124,0.001034,0.001317,0.001034
2018-04-21,0.001114,0.001242,0.001292,0.00109
2018-04-22,0.001098,0.001115,0.001219,0.001094
2018-04-23,0.001117,0.001099,0.001126,0.001097
2018-04-24,0.001206,0.001118,0.001232,0.001055
2018-04-25,0.001019,0.001207,0.001219,0.00101
2018-04-26,0.001253,0.001018,0.001257,0.000996
2018-04-27,0.001027,0.001253,0.001256,0.001024
2018-04-28,0.001074,0.001026,0.001093,0.00102
2018-04-29,0.001081,0.001074,0.00117,0.001061
2018-04-30,0.001063,0.001082,0.001087,0.001048
2018-05-01,0.001044,0.001062,0.001062,0.001016
2018-05-02,0.00106,0.001043,0.001066,0.001033
2018-05-03,0.001123,0.001062,0.001131,0.000969
2018-05-04,0.001118,0.001122,0.001128,0.0011
2018-05-05,0.001133,0.001116,0.001148,0.001114
2018-05-06,0.001063,0.001134,0.001146,0.000997
2018-05-07,0.000984,0.001063,0.001087,0.000978
2018-05-08,0.000965,0.000982,0.001085,0.0
2018-05-09,0.001118,0.000964,0.001121,0.000943
2018-05-10,0.001037,0.001118,0.001125,0.001035
2018-05-11,0.000881,0.001036,0.001036,0.000876
2018-05-12,0.000887,0.000883,0.000906,0.000862
2018-05-13,0.000912,0.000889,0.000919,0.000874
2018-05-14,0.000737,0.000912,0.000914,0.000707
2018-05-15,0.00072,0.000737,0.00075,0.000716
2018-05-16,0.000792,0.00072,0.0008,0.000689
2018-05-17,0.000686,0.000793,0.000804,0.00068
2018-05-18,0.0007,0.000685,0.000786,0.000674
2018-05-19,0.0007,0.0007,0.000713,0.000692
2018-05-20,0.000767,0.0007,0.000811,0.000695
2018-05-21,0.000714,0.000767,0.000815,0.000707
2018-05-22,0.000718,0.000714,0.000793,0.000702
2018-05-23,0.000713,0.000718,0.000753,0.000663
2018-05-24,0.000682,0.000713,0.000733,0.000673
2018-05-25,0.000634,0.000682,0.000687,0.000625
2018-05-26,0.000623,0.000634,0.000647,0.000601
2018-05-27,0.000624,0.000623,0.000628,0.000614
2018-05-28,0.000603,0.000624,0.000632,0.000601
2018-05-29,0.000559,0.000604,0.000637,0.000555
2018-05-30,0.00059,0.00056,0.000642,0.00055
2018-05-31,0.000599,0.00059,0.000644,0.000567
2018-06-01,0.000639,0.000599,0.000643,0.000561
2018-06-02,0.000649,0.00064,0.000654,0.000607
2018-06-03,0.000656,0.000649,0.000661,0.000646
2018-06-04,0.000637,0.000657,0.000659,0.000634
