TIMESTAMP,SNRG_CLOSE_PRICE_USD,SNRG_OPEN_PRICE_USD,SNRG_HIGH_PRICE_USD,SNRG_LOW_PRICE_USD
2018-03-02,2.34346,2.08397,2.62753,2.08016
2018-03-03,2.48536,2.34346,2.54086,2.34346
2018-03-04,2.47209,2.48536,2.49009,2.37967
2018-03-05,2.37295,2.47209,2.47352,2.35362
2018-03-06,2.18877,2.37295,2.39346,2.15868
2018-03-07,1.98053,2.18877,2.23414,1.91452
2018-03-08,1.88772,1.98053,2.14086,1.86826
2018-03-09,1.84722,1.88772,1.91382,1.65741
2018-03-10,1.63698,1.84722,1.88336,1.61453
2018-03-11,1.74793,1.63698,1.80451,1.56904
2018-03-12,1.8187,1.74793,1.99697,1.72362
2018-03-13,1.79282,1.8187,1.88674,1.69831
2018-03-14,1.55066,1.79282,1.83558,1.50099
2018-03-15,1.49781,1.55066,1.59194,1.45503
2018-03-16,1.534,1.49781,1.57306,1.43416
2018-03-17,1.41693,1.534,1.534,1.3953
2018-03-18,1.33679,1.41693,1.41693,1.21704
2018-03-19,1.45356,1.33679,1.47243,1.29642
2018-03-20,1.42341,1.45356,1.55807,1.39691
2018-03-21,1.48852,1.42341,1.58776,1.41456
2018-03-22,1.46522,1.48852,1.54462,1.41175
2018-03-23,1.44432,1.46522,1.46522,1.31145
2018-03-24,1.42281,1.44432,1.51528,1.38841
2018-03-25,1.38814,1.42281,1.47651,1.34019
2018-03-26,1.31248,1.38814,1.38814,1.26788
2018-03-27,1.26695,1.31248,1.32562,1.2457
2018-03-28,1.24875,1.26695,1.27549,1.21964
2018-03-29,1.11833,1.24875,1.25263,1.0871
2018-03-30,1.02042,1.11833,1.13199,0.99688
2018-03-31,1.08521,1.02042,1.12616,1.0155
2018-04-01,1.06718,1.08521,1.10162,1.0084
2018-04-02,1.09898,1.06718,1.13531,1.06162
2018-04-03,1.18241,1.09898,1.22321,1.07819
2018-04-04,1.15534,1.18241,1.38218,1.09231
2018-04-05,1.07228,1.15534,1.17348,1.05051
2018-04-06,1.03899,1.07228,1.10189,1.02616
2018-04-07,1.07118,1.03899,1.11706,1.03673
2018-04-08,1.22121,1.07118,1.27388,1.07059
2018-04-09,1.18864,1.22121,1.28583,1.11948
2018-04-10,1.18741,1.18864,1.23681,1.15289
2018-04-11,1.29098,1.18741,1.29109,1.18082
2018-04-12,1.47306,1.29098,1.48186,1.24347
2018-04-13,0.77596,1.47306,1.48746,0.71137
2018-04-14,0.53334,0.77596,0.82212,0.53217
2018-04-15,0.59824,0.53334,0.60571,0.50499
2018-04-16,0.53355,0.59824,0.59952,0.51817
2018-04-17,0.53274,0.53355,0.57638,0.52662
2018-04-18,0.55039,0.53274,0.56032,0.5305
2018-04-19,0.55528,0.55039,0.56477,0.53609
2018-04-20,0.56915,0.55528,0.57296,0.53999
2018-04-21,0.45677,0.56915,0.59336,0.38
2018-04-22,0.44386,0.45677,0.48386,0.42581
2018-04-23,0.44086,0.44386,0.48151,0.43127
2018-04-24,0.41454,0.44086,0.44969,0.39508
2018-04-25,0.33092,0.41454,0.41662,0.32721
2018-04-26,0.34946,0.33092,0.42582,0.32068
2018-04-27,0.35472,0.34946,0.4149,0.3269
2018-04-28,0.37102,0.35472,0.37476,0.35245
2018-04-29,0.37336,0.37102,0.37978,0.36485
2018-04-30,0.36691,0.37336,0.3754,0.36212
2018-05-01,0.36015,0.36691,0.36701,0.35102
2018-05-02,0.36687,0.36015,0.36823,0.35673
2018-05-03,0.38794,0.36687,0.39076,0.36438
2018-05-04,0.38564,0.38794,0.38977,0.37985
2018-05-05,0.39142,0.38564,0.39669,0.38478
2018-05-06,0.38371,0.39188,0.39583,0.37558
2018-05-07,0.37455,0.38371,0.38437,0.36546
2018-05-08,0.36485,0.37178,0.37304,4e-05
2018-05-09,0.37016,0.36472,0.37226,0.35673
2018-05-10,0.35827,0.37016,0.37302,0.35765
2018-05-11,0.33339,0.35827,0.35827,0.33152
2018-05-12,0.3359,0.33339,0.34271,0.326
2018-05-13,0.34495,0.33666,0.34771,0.33083
2018-05-14,0.3443,0.34495,0.35269,0.32883
