TIMESTAMP,LIFE34129_OPEN_PRICE_USD,LIFE34129_HIGH_PRICE_USD,LIFE34129_LOW_PRICE_USD,LIFE34129_CLOSE_PRICE_USD,LIFE34129_VOLUME_USD,LIFE34129_DIVIDENDS_USD,LIFE34129_STOCK_SPLITS_USD
2024-12-01 00:00:00+00:00,6.70000008540228e-05,7.500000356230885e-05,6.600000051548705e-05,6.800000119255856e-05,3326,0.0,0.0
2024-12-02 00:00:00+00:00,6.800000119255856e-05,6.800000119255856e-05,6.199999916134402e-05,6.500000017695129e-05,2660,0.0,0.0
2024-12-03 00:00:00+00:00,6.500000017695129e-05,6.800000119255856e-05,6.199999916134402e-05,6.800000119255856e-05,641,0.0,0.0
2024-12-04 00:00:00+00:00,6.800000119255856e-05,7.000000186963007e-05,6.399999983841553e-05,6.600000051548705e-05,1302,0.0,0.0
2024-12-05 00:00:00+00:00,6.600000051548705e-05,6.800000119255856e-05,5.700000110664405e-05,5.8000001445179805e-05,3098,0.0,0.0
2024-12-06 00:00:00+00:00,5.6000000768108293e-05,7.79999973019585e-05,5.0999999075429514e-05,5.2999999752501026e-05,9049,0.0,0.0
2024-12-07 00:00:00+00:00,5.2999999752501026e-05,5.6000000768108293e-05,5.2999999752501026e-05,5.6000000768108293e-05,669,0.0,0.0
2024-12-08 00:00:00+00:00,5.500000042957254e-05,5.6000000768108293e-05,5.0999999075429514e-05,5.2999999752501026e-05,1893,0.0,0.0
2024-12-09 00:00:00+00:00,5.2999999752501026e-05,7.500000356230885e-05,4.8999998398358e-05,5.2999999752501026e-05,17558,0.0,0.0
2024-12-10 00:00:00+00:00,5.2999999752501026e-05,0.00010699999984353781,5.0999999075429514e-05,5.700000110664405e-05,27790,0.0,0.0
2024-12-11 00:00:00+00:00,5.700000110664405e-05,7.200000254670158e-05,5.2999999752501026e-05,5.2999999752501026e-05,7016,0.0,0.0
2024-12-12 00:00:00+00:00,5.2999999752501026e-05,7.79999973019585e-05,5.0999999075429514e-05,5.199999941396527e-05,9901,0.0,0.0
2024-12-13 00:00:00+00:00,5.199999941396527e-05,5.199999941396527e-05,4.999999873689376e-05,4.999999873689376e-05,105,0.0,0.0
2024-12-14 00:00:00+00:00,4.999999873689376e-05,4.999999873689376e-05,4.5000000682193786e-05,4.600000102072954e-05,1234,0.0,0.0
2024-12-15 00:00:00+00:00,4.600000102072954e-05,5.2999999752501026e-05,4.600000102072954e-05,5.2999999752501026e-05,1285,0.0,0.0
2024-12-16 00:00:00+00:00,5.2999999752501026e-05,0.0002209999947808683,4.999999873689376e-05,0.00011999999696854502,148762,0.0,0.0
2024-12-17 00:00:00+00:00,0.00011999999696854502,0.00013299999409355223,8.299999899463728e-05,8.600000001024455e-05,32605,0.0,0.0
2024-12-18 00:00:00+00:00,8.600000001024455e-05,8.70000003487803e-05,4.8000001697801054e-05,4.999999873689376e-05,5656,0.0,0.0
2024-12-19 00:00:00+00:00,4.999999873689376e-05,5.999999848427251e-05,4.5000000682193786e-05,5.199999941396527e-05,6667,0.0,0.0
2024-12-20 00:00:00+00:00,5.199999941396527e-05,5.199999941396527e-05,4.5000000682193786e-05,4.600000102072954e-05,2110,0.0,0.0
2024-12-21 00:00:00+00:00,4.600000102072954e-05,4.999999873689376e-05,4.600000102072954e-05,4.600000102072954e-05,3157,0.0,0.0
2024-12-22 00:00:00+00:00,4.600000102072954e-05,4.999999873689376e-05,4.600000102072954e-05,4.8000001697801054e-05,606,0.0,0.0
2024-12-23 00:00:00+00:00,4.8000001697801054e-05,4.8999998398358e-05,3.9999998989515007e-05,4.099999932805076e-05,2061,0.0,0.0
2024-12-24 00:00:00+00:00,4.099999932805076e-05,4.199999966658652e-05,2.8000000384054147e-05,3.7000001611886546e-05,4814,0.0,0.0
2024-12-25 00:00:00+00:00,3.7000001611886546e-05,3.7999998312443495e-05,2.499999936844688e-05,2.499999936844688e-05,2634,0.0,0.0
2024-12-26 00:00:00+00:00,2.499999936844688e-05,2.9999999242136255e-05,2.4000000848900527e-05,2.9000000722589903e-05,2598,0.0,0.0
2024-12-27 00:00:00+00:00,2.9000000722589903e-05,2.9999999242136255e-05,2.8000000384054147e-05,2.9000000722589903e-05,1108,0.0,0.0
2024-12-28 00:00:00+00:00,2.9000000722589903e-05,3.099999958067201e-05,2.9000000722589903e-05,2.9999999242136255e-05,562,0.0,0.0
2024-12-29 00:00:00+00:00,2.9999999242136255e-05,2.9999999242136255e-05,2.8000000384054147e-05,2.8000000384054147e-05,91,0.0,0.0
2024-12-30 00:00:00+00:00,2.8000000384054147e-05,2.9000000722589903e-05,2.8000000384054147e-05,2.8000000384054147e-05,283,0.0,0.0
2024-12-31 00:00:00+00:00,2.8000000384054147e-05,3.099999958067201e-05,2.499999936844688e-05,2.700000004551839e-05,2174,0.0,0.0
2025-01-01 00:00:00+00:00,2.700000004551839e-05,2.700000004551839e-05,2.5999999706982635e-05,2.5999999706982635e-05,160,0.0,0.0
2025-01-02 00:00:00+00:00,2.5999999706982635e-05,3.099999958067201e-05,2.5999999706982635e-05,2.9000000722589903e-05,1710,0.0,0.0
2025-01-03 00:00:00+00:00,2.9000000722589903e-05,2.9000000722589903e-05,2.300000051036477e-05,2.5999999706982635e-05,2034,0.0,0.0
2025-01-04 00:00:00+00:00,2.5999999706982635e-05,2.700000004551839e-05,2.499999936844688e-05,2.5999999706982635e-05,547,0.0,0.0
2025-01-05 00:00:00+00:00,2.5999999706982635e-05,2.5999999706982635e-05,2.2000000171829015e-05,2.2000000171829015e-05,1128,0.0,0.0
2025-01-06 00:00:00+00:00,2.2000000171829015e-05,2.499999936844688e-05,2.2000000171829015e-05,2.499999936844688e-05,1024,0.0,0.0
2025-01-07 00:00:00+00:00,2.499999936844688e-05,2.499999936844688e-05,1.8000000636675395e-05,1.8000000636675395e-05,1511,0.0,0.0
2025-01-08 00:00:00+00:00,1.8000000636675395e-05,1.8000000636675395e-05,1.5999999959603883e-05,1.5999999959603883e-05,1268,0.0,0.0
2025-01-09 00:00:00+00:00,1.5999999959603883e-05,1.5999999959603883e-05,1.4999999621068127e-05,1.4999999621068127e-05,82,0.0,0.0
2025-01-10 00:00:00+00:00,1.4999999621068127e-05,1.5999999959603883e-05,1.4999999621068127e-05,1.5999999959603883e-05,66,0.0,0.0
2025-01-11 00:00:00+00:00,1.5999999959603883e-05,1.5999999959603883e-05,1.4999999621068127e-05,1.4999999621068127e-05,46,0.0,0.0
2025-01-12 00:00:00+00:00,1.4999999621068127e-05,1.4999999621068127e-05,1.4999999621068127e-05,1.4999999621068127e-05,108,0.0,0.0
2025-01-13 00:00:00+00:00,1.4999999621068127e-05,1.4999999621068127e-05,1.2999999853491317e-05,1.2999999853491317e-05,130,0.0,0.0
2025-01-14 00:00:00+00:00,1.2999999853491317e-05,1.4000000192027073e-05,1.2999999853491317e-05,1.4000000192027073e-05,15,0.0,0.0
2025-01-15 00:00:00+00:00,1.4000000192027073e-05,1.4999999621068127e-05,1.4000000192027073e-05,1.4999999621068127e-05,90,0.0,0.0
