TIMESTAMP,ZOO34712_OPEN_PRICE_USD,ZOO34712_HIGH_PRICE_USD,ZOO34712_LOW_PRICE_USD,ZOO34712_CLOSE_PRICE_USD,ZOO34712_VOLUME_USD,ZOO34712_DIVIDENDS_USD,ZOO34712_STOCK_SPLITS_USD
2025-02-25 00:00:00+00:00,9.000000318337698e-06,9.999999747378752e-06,7.999999979801942e-06,9.000000318337698e-06,13416646,0.0,0.0
2025-02-26 00:00:00+00:00,9.000000318337698e-06,4.5000000682193786e-05,7.999999979801942e-06,3.199999991920777e-05,46566148,0.0,0.0
2025-02-27 00:00:00+00:00,3.199999991920777e-05,4.5000000682193786e-05,2.4000000848900527e-05,3.600000127335079e-05,40539797,0.0,0.0
2025-02-28 00:00:00+00:00,3.5000000934815034e-05,3.899999865097925e-05,1.8999999156221747e-05,1.8999999156221747e-05,20664099,0.0,0.0
2025-03-01 00:00:00+00:00,1.8999999156221747e-05,2.4000000848900527e-05,1.4999999621068127e-05,1.4999999621068127e-05,13872711,0.0,0.0
2025-03-02 00:00:00+00:00,1.4999999621068127e-05,1.8999999156221747e-05,1.4000000192027073e-05,1.5999999959603883e-05,10382447,0.0,0.0
2025-03-03 00:00:00+00:00,1.5999999959603883e-05,1.5999999959603883e-05,9.999999747378752e-06,1.1000000085914508e-05,7676866,0.0,0.0
2025-03-04 00:00:00+00:00,1.1000000085914508e-05,1.1000000085914508e-05,7.000000096013537e-06,9.000000318337698e-06,6788238,0.0,0.0
2025-03-05 00:00:00+00:00,9.000000318337698e-06,1.4000000192027073e-05,9.000000318337698e-06,1.2999999853491317e-05,9933650,0.0,0.0
2025-03-06 00:00:00+00:00,1.2000000424450263e-05,1.700000029813964e-05,1.1000000085914508e-05,1.1000000085914508e-05,8467179,0.0,0.0
2025-03-07 00:00:00+00:00,1.1000000085914508e-05,1.2000000424450263e-05,9.000000318337698e-06,9.999999747378752e-06,5504426,0.0,0.0
2025-03-08 00:00:00+00:00,9.999999747378752e-06,1.1000000085914508e-05,9.000000318337698e-06,9.999999747378752e-06,3267406,0.0,0.0
2025-03-09 00:00:00+00:00,9.999999747378752e-06,9.999999747378752e-06,7.999999979801942e-06,7.999999979801942e-06,3229968,0.0,0.0
2025-03-10 00:00:00+00:00,7.999999979801942e-06,9.999999747378752e-06,7.999999979801942e-06,7.999999979801942e-06,3599540,0.0,0.0
2025-03-11 00:00:00+00:00,7.999999979801942e-06,9.000000318337698e-06,7.999999979801942e-06,7.999999979801942e-06,3415579,0.0,0.0
2025-03-12 00:00:00+00:00,7.999999979801942e-06,7.999999979801942e-06,7.000000096013537e-06,7.000000096013537e-06,2903721,0.0,0.0
2025-03-13 00:00:00+00:00,7.000000096013537e-06,7.999999979801942e-06,7.000000096013537e-06,7.000000096013537e-06,2606139,0.0,0.0
2025-03-14 00:00:00+00:00,7.000000096013537e-06,7.999999979801942e-06,7.000000096013537e-06,7.000000096013537e-06,2911964,0.0,0.0
2025-03-15 00:00:00+00:00,7.000000096013537e-06,7.999999979801942e-06,7.000000096013537e-06,7.000000096013537e-06,2615472,0.0,0.0
2025-03-16 00:00:00+00:00,7.000000096013537e-06,1.4000000192027073e-05,7.000000096013537e-06,9.000000318337698e-06,7935019,0.0,0.0
2025-03-17 00:00:00+00:00,9.000000318337698e-06,9.999999747378752e-06,7.999999979801942e-06,7.999999979801942e-06,3752883,0.0,0.0
2025-03-18 00:00:00+00:00,7.999999979801942e-06,1.1000000085914508e-05,7.000000096013537e-06,9.999999747378752e-06,4206617,0.0,0.0
2025-03-19 00:00:00+00:00,9.999999747378752e-06,9.999999747378752e-06,7.999999979801942e-06,7.999999979801942e-06,3414520,0.0,0.0
2025-03-20 00:00:00+00:00,7.999999979801942e-06,9.000000318337698e-06,7.999999979801942e-06,7.999999979801942e-06,3474923,0.0,0.0
2025-03-21 00:00:00+00:00,7.999999979801942e-06,9.000000318337698e-06,7.999999979801942e-06,7.999999979801942e-06,2031604,0.0,0.0
2025-03-22 00:00:00+00:00,7.999999979801942e-06,7.999999979801942e-06,7.999999979801942e-06,7.999999979801942e-06,2434528,0.0,0.0
2025-03-23 00:00:00+00:00,7.999999979801942e-06,7.999999979801942e-06,7.000000096013537e-06,7.999999979801942e-06,2450886,0.0,0.0
2025-03-24 00:00:00+00:00,7.000000096013537e-06,7.999999979801942e-06,7.000000096013537e-06,7.999999979801942e-06,2682486,0.0,0.0
2025-03-25 00:00:00+00:00,7.999999979801942e-06,7.999999979801942e-06,7.000000096013537e-06,7.999999979801942e-06,2553625,0.0,0.0
2025-03-26 00:00:00+00:00,7.999999979801942e-06,7.999999979801942e-06,7.000000096013537e-06,7.000000096013537e-06,2031342,0.0,0.0
2025-03-27 00:00:00+00:00,7.000000096013537e-06,7.999999979801942e-06,7.000000096013537e-06,7.000000096013537e-06,802253,0.0,0.0
2025-03-28 00:00:00+00:00,7.000000096013537e-06,7.000000096013537e-06,6.000000212225132e-06,6.000000212225132e-06,925648,0.0,0.0
2025-03-29 00:00:00+00:00,6.000000212225132e-06,6.000000212225132e-06,4.999999873689376e-06,4.999999873689376e-06,542907,0.0,0.0
2025-03-30 00:00:00+00:00,4.999999873689376e-06,6.000000212225132e-06,4.999999873689376e-06,4.999999873689376e-06,492485,0.0,0.0
2025-03-31 00:00:00+00:00,4.999999873689376e-06,6.000000212225132e-06,4.999999873689376e-06,4.999999873689376e-06,784823,0.0,0.0
2025-04-01 00:00:00+00:00,4.999999873689376e-06,6.000000212225132e-06,4.999999873689376e-06,4.999999873689376e-06,683228,0.0,0.0
2025-04-02 00:00:00+00:00,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06,855676,0.0,0.0
2025-04-03 00:00:00+00:00,4.999999873689376e-06,4.999999873689376e-06,3.999999989900971e-06,3.999999989900971e-06,770627,0.0,0.0
2025-04-04 00:00:00+00:00,3.999999989900971e-06,4.999999873689376e-06,3.999999989900971e-06,4.999999873689376e-06,1032022,0.0,0.0
2025-04-05 00:00:00+00:00,4.999999873689376e-06,4.999999873689376e-06,3.999999989900971e-06,3.999999989900971e-06,496578,0.0,0.0
2025-04-06 00:00:00+00:00,3.999999989900971e-06,3.999999989900971e-06,3.999999989900971e-06,3.999999989900971e-06,702803,0.0,0.0
2025-04-07 00:00:00+00:00,3.999999989900971e-06,3.999999989900971e-06,3.000000106112566e-06,3.999999989900971e-06,1313895,0.0,0.0
2025-04-08 00:00:00+00:00,3.999999989900971e-06,3.999999989900971e-06,3.000000106112566e-06,3.000000106112566e-06,735651,0.0,0.0
2025-04-09 00:00:00+00:00,3.000000106112566e-06,3.999999989900971e-06,3.000000106112566e-06,3.999999989900971e-06,1270987,0.0,0.0
2025-04-10 00:00:00+00:00,3.999999989900971e-06,3.999999989900971e-06,3.000000106112566e-06,3.000000106112566e-06,729033,0.0,0.0
2025-04-11 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,745093,0.0,0.0
2025-04-12 00:00:00+00:00,3.000000106112566e-06,3.999999989900971e-06,3.000000106112566e-06,3.000000106112566e-06,591601,0.0,0.0
2025-04-13 00:00:00+00:00,3.000000106112566e-06,3.999999989900971e-06,3.000000106112566e-06,3.000000106112566e-06,778603,0.0,0.0
2025-04-14 00:00:00+00:00,3.000000106112566e-06,3.999999989900971e-06,3.000000106112566e-06,3.000000106112566e-06,844804,0.0,0.0
2025-04-15 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,646112,0.0,0.0
2025-04-16 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,1.9999999949504854e-06,3.000000106112566e-06,727049,0.0,0.0
2025-04-17 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,1.9999999949504854e-06,1.9999999949504854e-06,571301,0.0,0.0
2025-04-18 00:00:00+00:00,1.9999999949504854e-06,3.000000106112566e-06,1.9999999949504854e-06,1.9999999949504854e-06,528739,0.0,0.0
2025-04-19 00:00:00+00:00,1.9999999949504854e-06,3.000000106112566e-06,1.9999999949504854e-06,3.000000106112566e-06,506600,0.0,0.0
2025-04-20 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,1.9999999949504854e-06,3.000000106112566e-06,498231,0.0,0.0
2025-04-21 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,1.9999999949504854e-06,3.000000106112566e-06,821940,0.0,0.0
2025-04-22 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,1.9999999949504854e-06,3.000000106112566e-06,1079982,0.0,0.0
2025-04-23 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,736889,0.0,0.0
2025-04-24 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,1.9999999949504854e-06,3.000000106112566e-06,606004,0.0,0.0
2025-04-25 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,735660,0.0,0.0
2025-04-26 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,447027,0.0,0.0
2025-04-27 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,1.9999999949504854e-06,3.000000106112566e-06,478526,0.0,0.0
2025-04-28 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,1.9999999949504854e-06,3.000000106112566e-06,633967,0.0,0.0
2025-04-29 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,1.9999999949504854e-06,3.000000106112566e-06,546822,0.0,0.0
2025-04-30 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,1.9999999949504854e-06,3.000000106112566e-06,574737,0.0,0.0
2025-05-01 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,610118,0.0,0.0
2025-05-02 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,1.9999999949504854e-06,3.000000106112566e-06,507482,0.0,0.0
2025-05-03 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,1.9999999949504854e-06,1.9999999949504854e-06,435555,0.0,0.0
2025-05-04 00:00:00+00:00,1.9999999949504854e-06,3.000000106112566e-06,1.9999999949504854e-06,3.000000106112566e-06,487115,0.0,0.0
2025-05-05 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,1.9999999949504854e-06,1.9999999949504854e-06,543399,0.0,0.0
2025-05-06 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,520130,0.0,0.0
2025-05-07 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,548804,0.0,0.0
2025-05-08 00:00:00+00:00,1.9999999949504854e-06,3.000000106112566e-06,1.9999999949504854e-06,3.000000106112566e-06,947321,0.0,0.0
2025-05-09 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,1.9999999949504854e-06,3.000000106112566e-06,820472,0.0,0.0
2025-05-10 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,1.9999999949504854e-06,3.000000106112566e-06,594548,0.0,0.0
2025-05-11 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,660272,0.0,0.0
2025-05-12 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,857246,0.0,0.0
2025-05-13 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,665844,0.0,0.0
2025-05-14 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,600048,0.0,0.0
2025-05-15 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,1.9999999949504854e-06,1.9999999949504854e-06,625861,0.0,0.0
2025-05-16 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,553988,0.0,0.0
2025-05-17 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,218643,0.0,0.0
2025-05-18 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,211962,0.0,0.0
2025-05-19 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,199271,0.0,0.0
2025-05-20 00:00:00+00:00,1.9999999949504854e-06,3.000000106112566e-06,1.9999999949504854e-06,3.000000106112566e-06,282931,0.0,0.0
2025-05-21 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,469297,0.0,0.0
2025-05-22 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,267965,0.0,0.0
2025-05-23 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,288723,0.0,0.0
2025-05-24 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,1.9999999949504854e-06,3.000000106112566e-06,296950,0.0,0.0
