TIMESTAMP,ETH_OPEN_PRICE_USDT,ETH_HIGH_PRICE_USDT,ETH_LOW_PRICE_USDT,ETH_CLOSE_PRICE_USDT,XRP_OPEN_PRICE_USDT,XRP_HIGH_PRICE_USDT,XRP_LOW_PRICE_USDT,XRP_CLOSE_PRICE_USDT,ZEC_OPEN_PRICE_USDT,ZEC_HIGH_PRICE_USDT,ZEC_LOW_PRICE_USDT,ZEC_CLOSE_PRICE_USDT,LTC_OPEN_PRICE_USDT,LTC_HIGH_PRICE_USDT,LTC_LOW_PRICE_USDT,LTC_CLOSE_PRICE_USDT,XLM_OPEN_PRICE_USDT,XLM_HIGH_PRICE_USDT,XLM_LOW_PRICE_USDT,XLM_CLOSE_PRICE_USDT,XMR_OPEN_PRICE_USDT,XMR_HIGH_PRICE_USDT,XMR_LOW_PRICE_USDT,XMR_CLOSE_PRICE_USDT,DASH_OPEN_PRICE_USDT,DASH_HIGH_PRICE_USDT,DASH_LOW_PRICE_USDT,DASH_CLOSE_PRICE_USDT
2017-08-17 04:00:00,301.13,312.0,298.0,310.0,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-17 10:00:00,310.0,310.97,303.56,307.06,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-17 16:00:00,307.06,312.18,298.21,307.44,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-17 22:00:00,307.44,310.85,295.19,301.4,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-18 04:00:00,301.4,310.85,298.41,304.71,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-18 10:00:00,304.71,311.79,296.32,298.8,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-18 16:00:00,298.8,301.11,283.94,286.3,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-18 22:00:00,286.3,299.84,284.02,293.22,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-19 04:00:00,293.22,299.9,287.0,290.3,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-19 10:00:00,290.3,292.24,278.0,288.64,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-19 16:00:00,288.64,295.0,284.16,293.25,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-19 22:00:00,293.25,294.9,285.96,292.41,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-20 04:00:00,292.41,293.15,285.39,292.17,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-20 06:00:00,292.17,296.89,282.85,295.0,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-20 12:00:00,295.0,298.79,292.28,296.88,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-20 18:00:00,296.88,300.53,294.51,299.1,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-21 00:00:00,299.1,314.28,294.6,314.05,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-21 06:00:00,314.05,333.66,312.6,331.53,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-21 12:00:00,331.53,346.52,325.42,332.33,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-21 18:00:00,332.33,333.63,316.12,323.29,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-22 00:00:00,323.29,330.41,144.21,279.96,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-22 06:00:00,279.96,313.16,279.96,308.03,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-22 12:00:00,308.03,320.76,301.48,312.07,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-22 18:00:00,312.07,315.25,305.08,309.8,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-23 00:00:00,309.8,324.99,309.41,316.74,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-23 06:00:00,316.74,324.51,315.35,319.2,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-23 12:00:00,319.2,322.0,313.75,318.47,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-23 18:00:00,318.47,322.34,312.05,315.74,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-24 00:00:00,315.74,322.36,314.01,318.0,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-24 06:00:00,318.0,323.61,316.14,323.61,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-24 12:00:00,323.61,328.04,317.9,322.45,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-24 18:00:00,322.45,326.33,318.97,323.42,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-25 00:00:00,323.42,335.0,323.42,331.73,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-25 06:00:00,331.73,335.41,327.4,331.26,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-25 12:00:00,331.26,338.28,328.72,332.01,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-25 18:00:00,332.01,336.49,324.9,327.24,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-26 00:00:00,327.24,332.27,323.41,326.23,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-26 06:00:00,326.23,331.25,324.06,327.89,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-26 12:00:00,327.89,335.44,324.06,331.04,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-26 18:00:00,331.04,334.17,327.03,330.79,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-27 00:00:00,330.79,338.29,330.79,335.0,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-27 06:00:00,335.0,338.42,330.73,333.94,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-27 12:00:00,333.94,339.14,331.88,337.56,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-27 18:00:00,337.56,348.13,336.02,348.13,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-28 00:00:00,348.13,351.0,331.95,336.01,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-28 06:00:00,336.01,342.86,336.01,341.9,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-28 12:00:00,341.9,347.41,339.34,340.49,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-28 18:00:00,340.49,348.5,340.49,346.0,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-29 00:00:00,346.0,355.0,346.0,355.0,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-29 06:00:00,355.0,367.13,350.72,356.75,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-29 12:00:00,356.75,373.66,356.75,370.43,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-29 18:00:00,370.43,377.6,365.65,374.7,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-30 00:00:00,374.7,381.13,367.37,381.13,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-30 06:00:00,381.13,393.71,362.05,375.9,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-30 12:00:00,375.9,386.96,370.49,384.95,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-30 18:00:00,384.95,389.8,380.74,385.93,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-31 00:00:00,385.93,385.94,377.78,382.16,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-31 06:00:00,382.16,387.42,378.85,387.42,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-31 12:00:00,387.42,389.36,383.13,385.67,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-31 18:00:00,385.67,388.25,383.13,384.79,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-01 00:00:00,384.79,394.39,384.79,384.88,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-01 06:00:00,384.88,393.08,383.18,389.64,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-01 12:00:00,389.64,392.3,385.88,392.29,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-01 18:00:00,392.29,394.02,387.11,388.46,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-02 00:00:00,388.46,394.32,347.61,347.61,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-02 06:00:00,347.61,375.0,347.0,357.0,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-02 12:00:00,357.0,360.28,327.09,341.63,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-02 18:00:00,341.63,345.27,320.08,343.14,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-03 00:00:00,343.14,365.73,340.2,363.55,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-03 06:00:00,363.55,367.28,334.75,336.54,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-03 12:00:00,336.54,348.22,320.08,343.99,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-03 18:00:00,343.99,347.68,337.35,341.77,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-04 00:00:00,341.77,344.55,327.35,334.99,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-04 06:00:00,334.99,335.5,270.0,289.93,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-04 12:00:00,289.93,298.18,267.94,271.33,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-04 18:00:00,271.33,312.92,271.33,283.77,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-05 00:00:00,283.77,298.74,235.55,271.51,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-05 06:00:00,271.51,299.64,271.51,295.98,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-05 12:00:00,295.98,309.82,285.94,305.0,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-05 18:00:00,305.0,321.52,303.16,312.09,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-06 00:00:00,312.09,333.12,312.09,320.36,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-06 06:00:00,320.36,335.02,314.76,335.02,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-06 12:00:00,335.02,335.24,321.01,335.0,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-06 18:00:00,335.0,336.34,335.0,335.0,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-07 00:00:00,335.0,335.01,320.35,328.02,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-07 06:00:00,328.02,332.53,320.17,329.94,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-07 12:00:00,329.94,342.5,327.79,332.79,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-07 18:00:00,332.79,338.35,329.15,334.49,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-08 00:00:00,334.49,335.1,326.79,330.58,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-08 06:00:00,330.58,333.76,324.72,331.53,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-08 12:00:00,331.53,331.57,272.0,288.3,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-08 18:00:00,288.3,306.9,281.52,302.99,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-09 00:00:00,302.99,306.42,281.66,306.42,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-09 06:00:00,306.42,306.42,295.0,303.0,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-09 12:00:00,303.0,307.0,288.72,288.72,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-09 18:00:00,288.72,302.77,285.17,296.74,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-10 00:00:00,296.74,299.0,275.6,280.6,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-10 06:00:00,280.6,287.05,261.03,280.22,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-10 12:00:00,280.22,300.0,279.98,298.36,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-10 18:00:00,298.36,302.78,291.87,293.5,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-11 00:00:00,293.5,304.98,285.21,291.0,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-11 06:00:00,291.0,297.36,288.0,294.46,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-11 12:00:00,294.46,301.99,292.16,299.0,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-11 18:00:00,299.0,300.6,293.38,297.3,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-12 00:00:00,297.3,308.84,297.3,308.84,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-12 06:00:00,308.84,316.46,302.32,310.95,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-12 12:00:00,310.95,311.81,298.34,298.34,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-12 18:00:00,298.34,298.34,286.01,293.96,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-13 00:00:00,293.96,294.5,267.0,275.6,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-13 06:00:00,275.6,283.74,262.0,263.84,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-13 12:00:00,263.84,278.24,257.05,275.11,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-13 18:00:00,275.11,282.77,265.5,276.91,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-14 00:00:00,276.91,283.77,270.0,271.03,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-14 06:00:00,271.03,273.0,238.34,238.39,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-14 12:00:00,238.39,253.01,227.03,227.03,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-14 18:00:00,227.03,244.99,215.0,215.21,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-15 00:00:00,215.21,243.96,212.11,228.92,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-15 06:00:00,228.92,234.27,192.0,199.28,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-15 12:00:00,199.28,270.93,195.09,246.27,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-15 18:00:00,246.27,263.4,241.88,253.0,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-16 00:00:00,253.0,271.81,250.0,260.5,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-16 06:00:00,260.5,268.72,235.51,249.99,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-16 12:00:00,249.99,258.19,242.3,247.02,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-16 18:00:00,247.02,257.0,245.75,249.31,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-17 00:00:00,249.31,252.54,243.0,243.9,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-17 06:00:00,243.9,246.9,239.02,242.84,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-17 12:00:00,242.84,260.0,240.05,260.0,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-17 18:00:00,260.0,264.39,257.0,257.55,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-18 00:00:00,257.55,293.83,257.11,290.0,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-18 06:00:00,290.0,299.0,279.61,288.88,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-18 12:00:00,288.88,306.22,285.06,289.0,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-18 18:00:00,289.0,296.0,287.99,294.57,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-19 00:00:00,294.57,300.0,278.0,279.0,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-19 06:00:00,279.0,294.99,277.41,289.0,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-19 12:00:00,289.0,290.0,284.0,288.0,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-19 18:00:00,288.0,289.63,278.0,284.0,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-20 00:00:00,284.0,284.96,275.91,280.03,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-20 06:00:00,280.03,288.0,280.0,284.05,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-20 12:00:00,284.05,294.0,283.99,291.12,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-20 18:00:00,291.12,292.0,282.0,282.0,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-21 00:00:00,282.0,286.0,278.05,280.9,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-21 06:00:00,280.9,287.0,280.9,282.83,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-21 12:00:00,282.83,284.11,263.0,264.0,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-21 18:00:00,264.0,266.0,252.1,257.0,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-22 00:00:00,257.0,272.97,257.0,267.0,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-22 06:00:00,267.0,270.0,253.5,254.22,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-22 12:00:00,254.22,262.01,253.01,258.0,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-22 18:00:00,258.0,266.61,254.9,264.0,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-23 00:00:00,264.0,268.0,255.11,265.0,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-23 06:00:00,265.0,282.83,263.98,282.8,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-23 12:00:00,282.8,283.09,275.55,281.48,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-23 18:00:00,281.48,286.23,278.07,285.93,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-24 00:00:00,285.93,294.61,280.43,282.46,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-24 06:00:00,282.46,284.0,275.0,280.47,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-24 12:00:00,280.47,288.18,280.4,285.0,,,,,,,,,,,,,,,,,,,,,,,,
