,BTC
XRP,3.229846542571623e-07
ETH,8.763305803094348e-06
QTUM,0.0002175654511959
XEM,0.00024946255808355
USDT,0.0008840357949292
SC,0.0010038634129224
MAID,0.0019586628891692
ARK,0.00214635990423335
KMD,0.00250655470940715
ETC,0.010010279187431099
RLC,0.0113636933053487
DOGE,0.0179706449078723
ZEN,0.018242268929474448
LSK,0.02367895089127415
MONA,0.0307760048642835
ANT,0.036474167198895055
XWC,0.0416820881277649
SYS,0.0489010086352116
DGB,0.0595191160469538
GNO,0.08333611127068741
FIRO,0.1772807988847644
DCR,0.35828762029700484
VERI,0.38845667904979253
CON,0.47952305302673337
STEEM,0.546959613196516
BTS,0.5714235240162536
