,ETH
ARK,0.005720966496633184
XRP,0.010345006702105811
XEM,0.011075603972035487
ZEN,0.02644953270008151
MAID,0.02765572770898327
KMD,0.03618664002896211
LSK,0.04031432309627665
DOGE,0.07110263742886651
BTS,0.08599734195605592
FIRO,0.08651463808600172
USDT,0.10129738276957428
XWC,0.11566588826704809
ETC,0.12351976252019595
SC,0.13081706018769793
SYS,0.14656375912466135
BTC,0.1604024330640394
MONA,0.24580835428243036
GNO,0.28642166187977885
QTUM,0.3782130691987754
DCR,0.43517787640528166
DGB,0.45970578602109735
RLC,0.514973155679493
STEEM,0.7108864805647088
CON,0.7790418020901332
ANT,0.7940281457153472
VERI,0.8605150809844525
