,ETH
BTC,0.7861228413718423
QTUM,0.7655839654429978
ETC,0.7485065698701382
XRP,0.7452275861114696
BTS,0.7151923708987307
GNO,0.7079232604489978
DGB,0.6920513850349658
SC,0.6805677283119622
XEM,0.6798840193305906
LSK,0.6714707428807211
DCR,0.6688120762868449
FIRO,0.6680147606730003
DOGE,0.6614924287509082
KMD,0.6441224028583721
STEEM,0.6437007409602346
MONA,0.6334470590039504
ARK,0.6290714297745075
ZEN,0.6243915873294232
RLC,0.6224404653225429
ANT,0.6126146248798151
SYS,0.5931574928529223
MAID,0.4946840721049806
VERI,0.3946530855359629
CON,0.3406354434643973
XWC,0.2919409080065654
USDT,0.2236564761172629
