,XRP
DOGE,2.3671427937477595e-26
BTS,1.1433861794038518e-16
ETH,4.47707011233382e-05
STEEM,7.279788862561674e-05
BTC,0.00143770194522575
XLM,0.0015445760828004
PIVX,0.0017093087352369
SC,0.0033739718921906
WAVES,0.0054288922726284
XEM,0.011695953949399499
BAT,0.018559353889452547
QTUM,0.0315004016383471
ARK,0.031864488642698294
DASH,0.0327899685703653
ZEN,0.0550171232325559
DGB,0.060654141664139
GAS,0.13250130698754495
ZEC,0.14574213721879203
RLC,0.1536501536995719
LTC,0.1631438322007586
MIOTA,0.2067028054304296
ETC,0.23263396100496742
ANT,0.3344674537528677
DCR,0.45977838110713887
FIRO,0.522475491994421
XMR,0.6056856624404601
KMD,0.6961586501765284
LSK,0.7570739620313744
LUNC,0.7868695268006982
SYS,0.8234857828369408
GNO,0.992594500375948
