,ETH
MARI,1.0
BTC,0.7935602302748058
ETC,0.7789349978075978
LTC,0.7773656125540496
GNO,0.7417825309962809
QTUM,0.7352354459993207
DASH,0.7270304444842481
XRP,0.7259518908323963
IOTA,0.7179914025242087
ZEC,0.6976256363514048
XLM,0.6915340407239492
BAT,0.6762442527992354
DGB,0.6704650750663804
XEM,0.6663007059067612
NEWB,0.6613938554632858
AXIOM,0.65821491036211
SC,0.6528826049287754
LSK,0.6521078684604066
DOGE,0.6414929362191825
TES,0.6407219229204217
GAS,0.6369061273176075
FIRO,0.6368134255831542
JLP,0.6354056245450631
XMR,0.6340283875479553
2GIVE,0.6218352004528442
BTS,0.6212517604126084
DCR,0.6193622254189518
STEEM,0.6118748008181689
WAVES,0.6082240010731325
ZEN,0.5937411760979154
KMD,0.5937345028055262
PXI,0.5906858640532929
RLC,0.5883536472786306
ARK,0.5836435589930534
SNRG,0.5792792108470265
ZENI,0.5746033535078564
VEC2,0.5741072352582458
AE,0.5730226621117459
SYS,0.5709827056857235
ANT,0.5703384586327092
SONG,0.5648254319872448
SPR,0.5647529955530688
LUN,0.5632682896905291
HBN,0.5622736437614646
CJ,0.5620075834356378
SP,0.5614285714285714
PKB,0.5598113095028215
ICOB,0.5596009842349028
AV,0.55809985663119
IMS,0.5527441074319089
RBIES,0.5511256549478742
QBC,0.546444248451941
GRS,0.5453160440463245
CREVA,0.5446228706529058
C2,0.5416216606942258
NOBL,0.5407774500797756
MONA,0.540008994079149
CAB,0.5397523600806811
VIDZ,0.5386816231253453
PIVX,0.5375957711381266
EUC,0.5372851466147504
IBANK,0.5369911572668422
OPAL,0.5353929599706001
WBB,0.5343817723730863
VLT,0.5340980428787279
ACES,0.5326624472951397
FRN,0.5319462991470879
GCC,0.5310425684252934
BLAZR,0.5272034837218368
POST,0.5254761190952707
ADC,0.525339486705245
TECH,0.5250855392266943
CF,0.5249570690975262
XPY,0.5223165522615275
ZYD,0.5213386279413741
XQN,0.5193698585300083
EVIL,0.5170729124548099
SWING,0.5162764924953266
LTCR,0.5160606353368554
