,nMSE,nRMSE,nMAE,nMAPE,MSE,RMSE,MAE,MAPE,R2
0,0.011212936831993597,0.10589115558909346,0.0839183387970128,0.04299012626166678,3312823.4334412008,1820.1163241510694,1442.4353125000005,0.04065711579875136,0.3966233737087759
1,0.003955605340431615,0.06289360333477177,0.05112904855049739,0.02684810068656784,1168669.8677752519,1081.050353949922,878.8345740927414,0.02535250005449796,0.8778336453645961
2,0.0072757220425109384,0.08529784312930157,0.06943630730363008,0.027429984699215575,2149588.1694141314,1466.147390071725,1193.5100907258063,0.026267799427333725,0.791055428570058
3,0.011379238713816879,0.10667351458453443,0.07935186717492582,0.03144770861095711,3361957.8272916824,1833.5642413866176,1363.9446614583328,0.030113231325899107,0.6474058935156461
4,0.013518885848077963,0.11627074373236787,0.09264540526150776,0.028688681991239525,4020805.4004733064,2005.194604140283,1597.7539415322576,0.027727005209967893,0.83733724772318
5,0.0087823480393807,0.09371418270134303,0.07311840742440492,0.026780572540626362,3944641.323030763,1986.1121124022086,1549.6194687499992,0.02591897467278126,0.6943446002920974
6,0.0018376199590602208,0.04286746970676274,0.030926827033616017,0.02550536963409919,2747737.6071275636,1657.6301177064695,1195.9006653225804,0.024503003793212824,0.6133081257975697
7,0.000871879326541243,0.029527602790291714,0.020497710418947258,0.020589039961384805,1303693.9193760117,1141.794166816424,792.6199193548387,0.019605272284087497,0.8882074385359043
8,0.0009795986120377936,0.03129854009435254,0.021630781581443763,0.030913391679479107,3016807.5725708986,1736.8959590519228,1200.3889508928567,0.029455597034677584,0.5167840849851593
9,0.0005110979100061778,0.02260747464902212,0.017173003063481077,0.02571692928012596,1795712.292016095,1340.0418993509475,1017.9174445564516,0.02452608110120256,0.7854571273972255
10,0.000302087177491258,0.017380655266452355,0.01413683422319657,0.022388442045099648,1148554.7915346546,1071.7064857201597,871.6899374999998,0.0213361253015622,0.8163183943599769
11,0.0004928557395986671,0.02220035449263518,0.016756875418854695,0.03472059089525081,1873869.7234331572,1368.8936128980795,1033.2439163306456,0.03260255089399706,0.835131982602801
Mean,0.005093322961745588,0.0613852616725774,0.04756011718762651,0.028668244857142727,2487071.827290393,1542.4289389704857,1178.1549069180426,0.027338771408164254,0.7249839452377492
