,nMSE,nRMSE,nMAE,nMAPE,MSE,RMSE,MAE,MAPE,R2
0,0.20814956369341242,0.45623411062020824,0.4409480570761076,0.22789553606435936,61497058.07411956,7842.005998092552,7579.2606718749985,0.21544177401236062,-10.200683698694423
1,0.04569681320976932,0.21376812954640673,0.19958147359918144,0.10882230231185372,13500959.90320354,3674.3652381334573,3430.517051411291,0.10255272355080165,-0.4113164897397035
2,0.3425527769854229,0.5852800842207284,0.568461012718151,0.22038069389096354,101206041.6661876,10060.121354446357,9771.025710685486,0.21122285000705734,-8.837443889461799
3,0.1660686251399261,0.4075151839378824,0.3485180282547425,0.14163191898270816,49064402.92935833,7004.598698666351,5990.5225260416655,0.1354742175459296,-4.145757382983521
4,0.1197867883318052,0.34610228015978917,0.3034229557892429,0.08990385091352322,35390612.57021206,5949.000972450085,5215.404541330645,0.08701926669295881,-0.4317366477760072
5,0.13414143300048034,0.3662532361638329,0.3147729863753574,0.10991926119889393,60250377.64054994,7762.111674058158,6671.075796875,0.10655034216806177,-3.6685748467810066
6,0.004347695113727468,0.06593705417841676,0.056952266042440705,0.046416405210531086,6500973.378699552,2549.7006449188407,2202.270493951612,0.04461111895704173,0.08511148465249763
7,0.02565089087977443,0.16015895504084193,0.15022486619536676,0.154031643551279,38354989.854661204,6193.140548595778,5809.002111895161,0.14654435532787624,-2.2889641479913108
8,0.17370540827242836,0.41677980789912117,0.4143406326729436,0.5906064428992356,534949518.80661774,23128.975740542806,22993.615011160717,0.5628257629770231,-84.68531966279848
9,0.005984060793212733,0.07735671136503111,0.06702564276269635,0.10374638791885785,21024645.61520985,4585.263963525966,3972.8970413306456,0.09879457468367438,-1.511921250301281
10,0.010000837177110557,0.10000418579794826,0.09274944579133095,0.1488109116726682,38023830.35246355,6166.346596848376,5719.012671875001,0.14173924405638635,-5.080927321187898
11,0.04687134391986307,0.2164979074260605,0.21222235435105335,0.4528546114370461,178207934.7371036,13349.454473389675,13085.820005040325,0.4245339425613186,-14.67920571912893
Mean,0.10691301970974441,0.284323970529689,0.26410164346905124,0.1995849971709933,94830945.46069889,8188.757158639034,7703.368636122712,0.18977584771170752,-11.321394964349324
