,nMSE,nRMSE,nMAE,nMAPE,MSE,RMSE,MAE,MAPE,R2
0,0.06473861400216778,0.25443783917131463,0.18888074766172372,2.058573950784464,2181868.986586022,1477.1150891470922,1096.5295226086168,1.4019364050094594,-0.2271339296036865
1,0.22650856333135214,0.47592915789154183,0.3883819820881414,3.37746647595695,7633960.31522478,2762.962235577023,2254.7152929811855,1.4752845121759006,-1.9843821800143608
2,0.14767790906707276,0.38428883547023945,0.36153809407262855,0.42447237475348765,4977150.833808662,2230.9528981600356,2098.8755962236924,0.8274547391756353,-6.967830195894513
3,0.6165951504074055,0.7852357291969116,0.6364083776755672,1.9051770417162213,20780948.95513852,4558.612612971026,3694.60933627091,1.1499522554933546,-0.7229657961035421
4,0.14652504125763796,0.38278589479974046,0.3461106752908941,0.6125037048862854,4938295.960273144,2222.227702165812,2009.313145180121,0.7543778430110025,0.4224692020574137
5,0.10824837868971503,0.32901121362305424,0.2691758933419854,0.3122689301697441,4499721.949415191,2121.2548053958985,1735.4747595602394,2.627442369013691,-0.690755206694253
6,0.07540772783617287,0.2746046755541006,0.24873397180204138,33.53523462981222,5626101.768810039,2371.9405070132007,2148.4782879795985,1.0724276871464051,-0.3721489842704251
7,0.03147411972173523,0.17740946908701133,0.13875052685969477,0.5026569198457144,4482001.833803174,2117.073884823856,1655.7465535309004,1.196459636836236,-0.7346417947080073
8,0.01878434237816607,0.13705598264273644,0.11612270470088042,0.1932418738216435,2674942.3860594407,1635.525110189214,1385.7227965990012,0.9792176231297435,-0.18491154938024268
9,0.03302384028915546,0.18172462763520927,0.1582771000029914,0.32080449889091806,4702686.331851854,2168.567806606898,1888.7622886252336,0.998320364738776,0.003135492313780186
10,0.02464782758403255,0.15699626614678627,0.12804846963506447,0.18130934771821602,3509918.9204106745,1873.4777608529744,1528.0360866759763,0.9395469543006133,-1.9466728117880963
11,0.022052928554019885,0.14850228467609475,0.13283418317549678,0.41561549336232917,3527956.2939735865,1878.2854665821133,1680.1123042840438,0.9668061252855163,-0.8206308114601384
Mean,0.12630703692655276,0.3073318313245617,0.2594385605255925,3.653277103476516,5794629.544612925,2284.832989957095,1931.36466420996,1.1991022096096946,-1.1855390471288392
