,Expected,Predicted,Expected_Normalized,Predicted_Normalized
0,36693.09,36969.418,1.853505109536479,1.8746871
1,37568.68,37536.637,1.9206237340417776,1.9181675
2,39246.79,37955.05,2.0492597794152814,1.9502411
3,36829.0,39947.773,1.8639233329704095,2.102994
4,35513.2,37966.086,1.763060273634337,1.951087
5,35796.31,35488.3,1.7847621589730174,1.7611516
6,33552.79,35519.31,1.6127844337247543,1.7635285
7,33380.81,33589.008,1.599601253192289,1.6155607
8,37388.05,33856.047,1.9067774850617847,1.6360307
9,36675.72,37232.445,1.852173606769594,1.8948495
10,37331.98,37838.062,1.9024794217261916,1.9412733
11,35546.11,38657.84,1.765582999947417,2.0041137
12,39020.57,37120.812,2.0319188147679137,1.8862923
13,40516.29,39414.348,2.1465736978125634,2.062104
14,40144.04,41080.863,2.118038757975314,2.1898513
15,38349.01,40289.348,1.9804401735399668,2.1291773
16,38092.97,38425.67,1.960813347493145,1.9863167
17,35819.84,38080.844,1.7865658584609165,1.9598838
18,35483.72,35802.777,1.7608004750409134,1.7852579
19,35600.16,35310.527,1.7697262195530674,1.7475243
20,31608.93,35171.758,1.463777239226337,1.7368869
21,32509.56,31678.477,1.5328153127404323,1.4691083
22,33678.07,32541.871,1.622387811193688,1.5352921
23,34663.09,33825.484,1.697894826475051,1.6336879
24,31584.45,34413.1,1.4619007171921774,1.6787319
25,32283.65,32106.852,1.5154981112397394,1.5019455
26,34700.34,32221.715,1.7007502368415723,1.5107504
27,34494.89,35201.992,1.6850014030213902,1.7392045
28,35911.73,34860.87,1.7936097150670818,1.7130557
29,35045.0,35883.258,1.7271702566248002,1.7914271
30,33504.69,34360.703,1.5386012939240696,1.6028092
31,33786.55,33338.633,1.55974308028052,1.5261457
32,34669.13,33964.125,1.6259437394818106,1.5730627
33,35286.51,34133.223,1.6722522474671415,1.5857463
34,33690.14,34955.86,1.5525115482340237,1.6474508
35,34220.01,33663.125,1.5922560963667576,1.5504853
36,33862.12,33998.973,1.5654114432797286,1.5756766
37,32875.71,33513.71,1.4914226918433195,1.5392779
38,33815.81,33149.137,1.5619378176281025,1.5119319
39,33502.87,33523.562,1.5384647791608228,1.5400169
40,34258.99,33502.15,1.595179912559812,1.5384107
41,33086.63,34193.066,1.507243402757612,1.5902351
42,32729.77,33897.688,1.4804760080256076,1.5680794
43,32820.02,32908.21,1.4872454901041912,1.4938605
44,31880.0,33401.8,1.4167363649683424,1.5308838
45,31383.87,31739.879,1.3795225905234914,1.4062262
46,31520.07,31639.137,1.3897386953334983,1.3986697
47,31778.56,31382.682,1.409127542120126,1.3794335
48,30839.65,31857.557,1.338701675988235,1.4150529
49,29790.35,31181.734,1.2599956644086447,1.3643608
50,32144.51,30606.201,1.4365767605872477,1.3211911
51,32287.83,32326.367,1.447326923152374,1.4502175
52,33634.09,32336.553,1.5483073435746924,1.4509815
53,34258.14,33925.062,1.5951161556648892,1.5701326
54,35381.02,34795.867,1.6793412641014565,1.63545
55,37237.6,35767.637,1.8185998240732812,1.7083406
56,39457.87,37680.152,1.9851380841798447,1.8517948
57,40019.56,39629.883,2.0272693904260466,1.9980404
58,40016.48,40756.023,2.027038365442091,2.0825102
59,42206.37,40586.484,2.191297879115996,2.0697932
60,41461.83,42761.477,2.135451339650192,2.2329354
