,MSE,MAE,RMSE,MAPE,R2
0,90.46530568550949,7.376145271645964,9.51132512773638,0.0481357784182266,0.7861056512259412
1,17.397552789390662,3.255798217937927,4.17103737568853,0.025426148308749383,0.8059373402137087
2,51.659836017226056,5.629503090403556,7.187477722902941,0.033354200639969626,0.7621831559235109
3,143.64239082896063,8.062205627034716,11.985090355477535,0.04520206325320744,0.717005967572981
4,52.098847213747014,5.749579414134201,7.217953118007003,0.031055339447270618,0.4914816053732215
5,199.7748324126907,10.408692727759053,14.134172505410096,0.046118347585710574,0.6702452326415271
6,60.12699424048512,5.453662754327917,7.75415980235674,0.03462840337593928,0.7364976870024793
7,30.739485457996842,4.296344882248882,5.544320107821774,0.03315672562624389,0.8781982646265267
8,33.39767119516915,4.766031015377185,5.779071828171817,0.040183752622775674,0.7202020258705013
9,14.989302347356993,3.1606894877370975,3.8716020388667265,0.028271071114338395,0.8501714916531251
10,15.483790986383745,3.2235175592641543,3.934944851758884,0.029625918354425174,0.767731715346915
11,30.53914938438256,3.9254153323189898,5.526223790653303,0.05270564520054539,0.8352907623444892
Mean,61.69292987994158,5.442298781682471,7.218114885404312,0.03732194949561684,0.7517542416495772
