,MSE,MAE,RMSE,MAPE,R2
0,3419649.772797242,1477.8522512830102,1849.22950787544,0.0416322255343393,0.3771667025233951
1,1131711.79783116,878.5845128280881,1063.8194385473316,0.0253564648123175,0.881697039813214
2,2216485.929053919,1255.3922399379353,1488.7867305473671,0.0276880113496102,0.7845528231331438
3,3468841.205945878,1385.7309824403126,1862.4825384271064,0.0305755135379895,0.636196220066243
4,3978005.5179150174,1585.7456257666304,1994.4937999189208,0.0275588859715955,0.8390687283596804
5,4058499.5508191073,1605.7731337610878,2014.57180334162,0.0268394977010483,0.6855221550366841
6,2813303.358647173,1264.2723557229194,1677.2904812962995,0.0258607768252679,0.6040809917099328
7,1309457.84586167,819.7318207223955,1144.3154485812338,0.0202980336110342,0.887713178267949
8,3119508.1665495955,1214.2004080227434,1766.2129448482692,0.0297848015096944,0.5003340594869494
9,1866240.5301610248,1020.8771537386986,1366.104143233972,0.0245686836877345,0.7770307603903831
10,1169208.5136524842,875.5650643205648,1081.299456049287,0.0214489416605112,0.8130153661814284
11,1833366.0748223648,1056.3730463803204,1354.0184913147843,0.0333391387890321,0.8386956007990434
Mean,2532023.1886713863,1203.341549577059,1555.2187319984694,0.02791258124918122,0.7187561354806705
