,MSE,MAE,RMSE,MAPE,R2
0,15717.26970254912,107.85715707419314,125.36853553643004,0.0477280421084427,0.8217436622048878
1,7859.448063611374,68.95482373176078,88.65352820734984,0.0325333898687601,0.7703779266378212
2,16563.24693022931,103.36868004429732,128.69827866070824,0.0332769629364232,0.68761162623619
3,35462.88815560704,151.67023076534272,188.3159264523504,0.0462998905930178,0.7221069224854733
4,20805.25472297975,116.4196146492804,144.24026734230546,0.0301842009961851,0.8006644581435572
5,35636.17373153513,150.80528951533643,188.77545849907276,0.0346616454930268,0.2474316747947395
6,23016.93886389842,121.41148602662548,151.71334438307798,0.0301324489165337,0.5488701085216303
7,16648.701476872186,101.2699738545572,129.02984723261585,0.0340486301344134,0.9163252482928222
8,19107.822359294103,105.36168459817232,138.23104701655885,0.0364493981112099,0.5138557713274748
9,7972.205333181851,73.24241277679324,89.28720699619767,0.0260116355582188,0.8953187225535809
10,10040.646203218666,80.53917089879515,100.2030249205016,0.0262233010206668,0.7645546237691984
11,13848.709540532953,99.96866789048718,117.68054019477032,0.0460858696074113,0.8915522350109649
Mean,18556.60875695916,106.73909931880347,132.5164171201616,0.035302951278692464,0.7150344149981951
