,MSE,MAE,RMSE,MAPE,R2
0,0.000395057691054,0.0154184023635317,0.0198760582373389,0.06690618925672,0.8502561444847652
1,9.375356881198443e-05,0.0070772518092096,0.0096826426564231,0.0373700103584014,0.7773131350280291
2,0.0008069402698546,0.022375267728205,0.02840669410288,0.0637335341739289,0.8576033810450379
3,0.0006788841870721,0.017070638733743,0.0260554061006947,0.0481432346761449,0.7258309553448161
4,0.0002411368906617,0.010948681211067,0.0155285830216982,0.0306538094954408,-0.261945816508051
5,0.0002647485200533,0.0133127495714348,0.0162710946175539,0.0364771628119782,0.7828674940881728
6,0.0002327492571294,0.0118856384851149,0.0152561219557726,0.0435134900978264,0.5591292930503742
7,9.251100554850932e-05,0.0071780645861735,0.0096182641650408,0.0334196775150496,0.9070264918692332
8,0.0003543386562101,0.0148776390265518,0.0188238852581007,0.0625473725550982,0.5836092542424919
9,9.177141230995536e-05,0.0072036793119733,0.009579739678611,0.0294867310393609,0.6800688382911915
10,0.0001024903063078,0.0079643104006879,0.0101237496170051,0.0358094544179885,0.8269587966679997
11,0.0001315916276386,0.0083757709556925,0.0114713394003784,0.0679248978668583,0.8724379936155664
Mean,0.0002904977827210041,0.011974007848615418,0.015891131567624783,0.046332130355399674,0.6800963301016356
