,MSE,MAE,RMSE,MAPE,R2
0,0.0010327143077143,0.0270711079489136,0.0321358725992356,0.0509002007910118,0.8041024826663574
1,0.0004607781460206,0.017005181315927,0.0214657435468844,0.0341497474553143,0.774838401889788
2,0.0009589932000664,0.0249176105974363,0.0309676153435553,0.0337998204284301,0.6974857916073673
3,0.0020534256732053,0.0357043754517505,0.0453147401317204,0.0458332869912741,0.7308691535236563
4,0.0012049968299507,0.0284912908899937,0.0347130642546975,0.0310384691465787,0.8069016904201987
5,0.0020507276118642,0.0361473319135567,0.0452849601066874,0.0346132238620175,0.2756579287376439
6,0.0012942910580366,0.0282034880312022,0.0359762568652806,0.0293226108094999,0.5757060351670186
7,0.0010880347651834,0.0265726477157473,0.0329853719879498,0.0378314794286697,0.9085386300328332
8,0.0011672552829911,0.0269173572793637,0.0341651179273712,0.0392631948859291,0.5032925759369657
9,0.0004775606127852,0.017799886685522,0.0218531602470955,0.0266452488863222,0.8951182554799871
10,0.0006042441595873,0.0193844112962323,0.0245813783093487,0.0265256894224777,0.7630144714136768
11,0.0008581701978489,0.0245336006991073,0.029294542117072,0.0480824704897865,0.8876001862178023
Mean,0.0011042659871045,0.026062357485396054,0.032394818619741535,0.03650045354977596,0.7185938002577746
