,MSE,MAE,RMSE,MAPE,R2
0,0.0026602793761509,0.0394537967455813,0.0515778961974109,0.0528608189744922,0.8558132690367023
1,0.0006676774738885,0.0186211469674002,0.0258394557583658,0.0291309634695152,0.7732313184040172
2,0.0054878409231215,0.0571149040165214,0.0740799630340184,0.0535505908638968,0.8615256419518103
3,0.004523803675876,0.0451079449899101,0.0672592274403743,0.0421661205911854,0.7387621907589614
4,0.0015916553619637,0.0265985806804308,0.0398955556668121,0.0245835491406997,-0.1910655034189394
5,0.0017600789644935,0.032694343782974,0.0419532950373816,0.0295891908650684,0.7935889162142389
6,0.0015293437437232,0.0310152481164979,0.0391068247716845,0.0360378870291355,0.5857737576590566
7,0.0006040867159271,0.0184322739955727,0.024578175602089,0.0261386490433089,0.9131890196919028
8,0.0023712639073863,0.0375367077049458,0.0486956251360056,0.0489940266057836,0.601551694551353
9,0.0006323174391441,0.0190501827645566,0.0251459229129526,0.024283670414535,0.6847944573967899
10,0.0006826008556354,0.0202529589904575,0.0261266311574118,0.0279873790710257,0.8352053448510142
11,0.0009135495057008,0.0212152570903153,0.030224981483879,0.045818027467326,0.873370547847147
Mean,0.0019520414952509167,0.030591112153763634,0.04120696284986547,0.03676173946133104,0.6938117212453379
