,MSE,MAE,RMSE,MAPE,R2
0,0.0008923919659969,0.024645368080198803,0.029872930321562397,0.0460880517732308,0.8307204913097331
1,0.0004622835065425,0.0171949115112071,0.0215007792077998,0.0345654188529385,0.7741027997702417
2,0.0009398362876439,0.0246247553341208,0.0306567494631103,0.0334211435984516,0.7035288357043786
3,0.0020370519365436666,0.0354589664448286,0.045133672794457735,0.045583449183325526,0.7330151662404694
4,0.0011832824203114,0.027448790507902703,0.0343988723697658,0.0297910490302022,0.8103813807319545
5,0.002000318542273533,0.035204119695612636,0.044724920819086765,0.033771131829908964,0.2934630285795125
6,0.0012336157591465,0.0274419736902151,0.0351228666134551,0.0285564014939408,0.5955965868119915
7,0.0010124940020618,0.024372830270691998,0.0318197109047492,0.0345298754826173,0.91488866764611
8,0.001080439090145,0.025398176465290596,0.0328700333152416,0.0370456700072065,0.5402358634456214
9,0.0004688487500072,0.0179414871440056,0.021652915508245097,0.026802133388777304,0.8970315526441949
10,0.0006026803061137,0.0191836698431604,0.0245495479818624,0.026363406770136304,0.7636278172543957
11,0.0008596244616785,0.0239158256805099,0.029319353022850398,0.0470118739414323,0.8874097123653549
Mean,0.0010644055857053833,0.025235906222312022,0.031801862693515544,0.03529413377934734,0.7286668252086631
