,MSE,MAE,RMSE,MAPE,R2
0,0.0008220626339766658,0.02254825654968105,0.028671634658258775,0.041404949393986513,0.43073457230691237
1,0.0002589126369532729,0.013289612983163904,0.016090762472713124,0.02504900851452496,0.8970958891494982
2,0.000529287995519566,0.019557538807904132,0.023006259920281828,0.027782051884204215,0.8043915637041861
3,0.0008072075212359454,0.02108042343837587,0.028411397734640676,0.029946189443391225,0.6781246670678686
4,0.000951560050445106,0.024644145749210304,0.03084736699371773,0.027261076650542157,0.8536371118919376
5,0.0009551084940811534,0.02438089213998924,0.03090482962388166,0.025954291652629198,0.7186175750611606
6,0.0006505654759368713,0.019246447032722158,0.025506185052588153,0.02527893610452316,0.6519028168190251
7,0.00030166192587263046,0.012602233774831552,0.017368417483254784,0.020250480499957726,0.9016492956076837
8,0.0007448945611489191,0.018849612762323883,0.027292756569260626,0.029899273744854935,0.5463633532335002
9,0.00043856146099532955,0.015623813637225049,0.020941859062540976,0.02440941157026665,0.8007824893888262
10,0.0002844770177033749,0.013670986600527624,0.016866446504921386,0.021617918560433387,0.8270259939461114
11,0.00045429431669527585,0.016969769130881527,0.021314181117164127,0.03512687871272459,0.8632202412023375
Mean,0.0005998828408803426,0.018538644383903024,0.02393517476610198,0.027831705561003225,0.7477954641149207
