,MSE,MAE,RMSE,MAPE,R2
0,0.0008971882808196,0.024674385348690566,0.0299521518612812,0.046158254310214,0.8298106693395044
1,0.0004535254738746333,0.017290635710245365,0.021296025458074633,0.03465805997881877,0.7783824572341095
2,0.0009542700200531333,0.025025007561893135,0.030891158553869733,0.034049561900009066,0.6989757177744017
3,0.0020465924314789666,0.035660212873739904,0.0452392584052581,0.045874043901109406,0.7317647477270306
4,0.0012267321861241666,0.0280585843310516,0.0350246987989283,0.030509996693786068,0.803418643468631
5,0.0020073590421317666,0.035343379293367866,0.04480352667334914,0.03390648050054396,0.29097623792993166
6,0.0012171049718196667,0.027100946883619633,0.03488700857196966,0.0281775263495332,0.6010091463548499
7,0.0009898839806060334,0.024419440981438733,0.031462417328450766,0.0346487012255363,0.916789290313234
8,0.0010923445470231998,0.0254819173061973,0.03305063501305617,0.037148132241835934,0.5351696804911376
9,0.0004705710696742,0.018090827477863034,0.0216926392295497,0.026957690376402433,0.8966532972218131
10,0.0005878216936644334,0.01889768221234483,0.024245000333347866,0.025922031481491067,0.7694553888899381
11,0.0008827995817097,0.0247620035601684,0.0297118998932646,0.047536514267623654,0.8818115772983844
Mean,0.0010688494399149582,0.025400418628385033,0.03185470167669999,0.03546224943557533,0.7278514045035805
