,MSE,MAE,RMSE,MAPE,R2
0,0.0008603292707440229,0.02291422310813747,0.029331370079558557,0.0420488957477125,0.4042355289914805
1,0.00031135738255453537,0.014176734820881507,0.01764532183199092,0.02667095126597743,0.8762518701847049
2,0.0005591918404683999,0.019645636395612637,0.023647237480695284,0.027848666098429606,0.7933400295692925
3,0.0008736381805568438,0.021868143878418775,0.029557371002117964,0.031099596245516267,0.6516353318928496
4,0.0010707837090428484,0.02589530206188834,0.03272283161712703,0.028688544630556617,0.8352988903629729
5,0.0010120625979858765,0.02459204755457054,0.03181293130137298,0.026207328281363705,0.7018384510493414
6,0.0007050503800524352,0.018977269219388786,0.02655278478902797,0.02494541196587325,0.6227496533788648
7,0.00034280016667312646,0.012807349401983022,0.018514863398716355,0.020531672394617166,0.8882370131378774
8,0.000788169251438234,0.019527131478875418,0.028074352199796773,0.031023037143517864,0.5200093074173715
9,0.00046945641881916087,0.016439465524884813,0.021666942996628778,0.02558618381755654,0.7867483866791801
10,0.00030513107535933026,0.014022074935650386,0.01746800147009755,0.022210150310354372,0.8144674571516075
11,0.000523615758883691,0.017618743069276833,0.02288265191982107,0.03627371320612845,0.8423488153588187
Mean,0.0006517988360482087,0.01904034345413071,0.024989721673912602,0.028594512592300312,0.7280967279311968
