,MSE,MAE,RMSE,MAPE,R2
0,0.0029527571692999233,0.04038816168467204,0.054339278328847204,0.054288940642974,0.8399610178590333
1,0.0006601087797879294,0.01883073974732429,0.025692582193853723,0.029630370239754927,0.7758019349812166
2,0.00534123344204519,0.056044993154464214,0.07308374266582952,0.05252870629834975,0.8652249796533777
3,0.0045808662164583775,0.04543365629831951,0.06768209672031723,0.04260615399057757,0.7354669785527022
4,0.001552092328975985,0.02717824416006764,0.03939660301315311,0.025189666176649923,-0.16145974520745998
5,0.001900871889080147,0.03354752579371136,0.0435989895419624,0.030315790864109037,0.7770776001088056
6,0.0016018303843595935,0.03126568916074691,0.04002287326466696,0.03643103167640963,0.5661405856570483
7,0.0006601213881812206,0.01875614234862789,0.02569282756298381,0.02664924078862335,0.9051364922958063
8,0.002349697365406384,0.037360753491946626,0.04847367703616452,0.04871016782480481,0.6051755645388103
9,0.0006141220271240433,0.018745059182566987,0.02478148557137048,0.02402884754182759,0.6938647350194524
10,0.0008772372658400168,0.023123070818583166,0.029618191468082866,0.032219534544024486,0.788215892912457
11,0.0011253753415302419,0.023605218685590297,0.03354661445705426,0.05063582557542549,0.8502848050462388
Mean,0.0020180261331740877,0.03118993787721841,0.04216074681869051,0.03776952301362755,0.6867409034514574
