,MSE,RMSE,MAE,MAPE,R2
0,0.0005646982731920792,0.023763202585659365,0.01843851376485278,0.05247681704850096,0.8223959349904746
1,0.00011781094320258518,0.01085294834782667,0.008251343414956173,0.028717185893255226,0.8251930738451422
2,0.0003803136629317346,0.019500489145299296,0.015451154775135806,0.0387191420510739,0.7671100740218089
3,0.00104928882265312,0.0323924833200586,0.021568073101697043,0.05074329883778584,0.7250150750992713
4,0.00038243530243421844,0.019555934530277243,0.015250813479311951,0.03433725714490974,0.5034583133686822
5,0.0014678470301945944,0.03831149744762663,0.028653348892778385,0.05162039358564833,0.6777074303499578
6,0.00041382925378424064,0.020335247594108093,0.014560024980638879,0.039389149283172276,0.7587566712440057
7,0.00023718109097066087,0.01539231165376561,0.011962268043915085,0.04142550972802428,0.8749867253752831
8,0.0002695579387558875,0.016412299430489257,0.013512944200356024,0.0515775382062293,0.6996001618217157
9,0.00011210866820919774,0.010587939513987227,0.00843431269694814,0.034880857125877,0.8509364650319774
10,0.00012453405117645325,0.01113272886950175,0.008992221397857424,0.03833779247110341,0.7515037065231414
11,0.0002461892625823742,0.01568752179929114,0.011756162745752174,0.08224665063884021,0.8278096305256749
Mean,0.0004471495250072622,0.01949371701982424,0.014735931791183323,0.045372632667868375,0.7570394385164279
