,MSE,RMSE,MAE,MAPE,R2
0,0.0008299305774148935,0.028808515710027363,0.0226394235833554,0.04162267153737961,0.4252861453850352
1,0.0002864382522388278,0.016924486764414094,0.013798714431636444,0.025983482773443676,0.8861559095490271
2,0.0005509487771564838,0.02347229808000239,0.019233860495732936,0.027266933358996104,0.7963864102512282
3,0.0008467655863350216,0.02909923686860227,0.021760634505544482,0.030873238239544784,0.6623508232433951
4,0.0009915537199442332,0.031488945996083026,0.025165819064714347,0.02783269808840349,0.8474855411411547
5,0.000997010716239799,0.03157547650059772,0.02460658896056114,0.026201258343166414,0.7062728530171289
6,0.0006667212045500518,0.025820945074687948,0.01927193523093783,0.025294572855011938,0.6432583931130396
7,0.00032370172348276336,0.017991712633397727,0.012268487363408132,0.01967632861311858,0.8944636701319123
8,0.0007792926157442905,0.02791581300525368,0.019373767867936504,0.03076083506953986,0.5254151292085221
9,0.0004582904486507082,0.021407719370608074,0.01621249225017148,0.025266104481755727,0.7918205532472805
10,0.00028554541069466253,0.016898088965757712,0.013842251548392503,0.021892414726970916,0.8263763660175185
11,0.0005311484511830714,0.023046658134815802,0.017166414861370324,0.03553767851125145,0.8400808586665554
Mean,0.0006289456236362338,0.024537491425353986,0.018778365846980127,0.028184018049881878,0.7371127210809831
