,MSE,RMSE,MAE,MAPE,R2
0,0.0006451416996797117,0.02539911902433135,0.01997670613834279,0.056106619061670464,0.785543206059601
1,0.0001333974159870711,0.011549078501411139,0.00885470420229433,0.030760963215545955,0.7869639563818017
2,0.000354997750825398,0.018840356815972292,0.014690691665854032,0.03758929565981736,0.8403129709214433
3,0.001051814703520178,0.03243153523846468,0.02142012947356781,0.049336206601073775,0.6043206141542777
4,0.0002822585899067329,0.016800452502078105,0.013468668648530661,0.03177865020102311,0.86069207425661
5,0.0014020319423012795,0.03744224589639632,0.028604408756835006,0.05216226904961598,0.7350143091791882
6,0.0005825042866494467,0.024133692326806625,0.016970784435055158,0.043121210962763924,0.8202348773785048
7,0.00026145923317920616,0.016160110448867285,0.012764722965377978,0.04294682229944325,0.8346482734146625
8,0.0002191379642966746,0.014799914452560682,0.011764079209469225,0.04422396463386393,0.7389815683521425
9,0.00014016127990366606,0.011837029842349843,0.009125043561054152,0.03888001775830854,0.6864080535752123
10,0.00012592967558573286,0.011207150895848948,0.0088910987474408,0.03579182812630534,0.7930171360687784
11,0.00022702595521913564,0.015061546324351124,0.01149679878551642,0.07685302645443019,0.8633322174866525
Mean,0.0004521550414211862,0.019638519355786532,0.01483565304911153,0.04496257283532181,0.7791224381024063
