,MSE,RMSE,MAE,MAPE,R2
0,469.56627725053,21.66947801056892,18.0189496,0.1273002649598841,-0.3817091829290453
1,148.3282599432431,12.179008988552521,10.523522032258063,0.08155452124387354,-0.6545417044868382
2,186.50670462004516,13.656745755122088,10.573485161290323,0.061997815053881314,0.1414135368711773
3,708.4084327977836,26.615943206991247,20.29911433333334,0.11364571283842867,-0.39565596093051547
4,182.31799328024513,13.502518034805401,10.747794838709678,0.05951122031595601,-0.7795413567228155
5,1077.90314369647,32.8314352975387,26.23423366666667,0.11343267225962599,-0.7792216171170536
6,427.9352982976385,20.68659706905992,14.96294129032258,0.09481587820458806,-0.8753962731565594
7,329.21402081516106,18.144255862811267,13.866564677419355,0.11341042625302672,-0.3044733328200093
8,181.55367088048638,13.474185351273983,10.885070178571427,0.09052963191322072,-0.5210147142080268
9,61.92390800158593,7.869174543850576,6.716705677419356,0.05916328058239532,0.3810274453151796
10,89.24629073605772,9.44702549674011,7.8980950000000005,0.07322277613928767,-0.3387601834165508
11,168.32133816017895,12.973871363636182,8.790407838709674,0.1235287056818391,0.09217906037368695
Mean,335.93544487328546,16.920853248412577,13.293073691225041,0.09267607545383393,-0.3679745236022809
