,MSE,RMSE,MAE,MAPE,R2
0,1277.1327655144996,35.7369943547929,27.875061199999994,0.12303013609315543,-0.68470488763432
1,320.8794892768902,17.913109425135833,14.186188387096767,0.06596072642395306,-0.5087511559412048
2,664.1746625605067,25.77158634156048,20.070879677419356,0.07093594118906615,-0.16003988683569892
3,985.6108178501534,31.394439282302102,24.96000066666668,0.0983530870316933,-0.3814837516252947
4,388.7460756297871,19.716644634160932,16.09004580645161,0.05953777147036117,-3.243688607512375
5,265.77570283923677,16.302628709482306,13.139344999999999,0.05297320953315272,0.06792011391370345
6,441.7286028194741,21.017340526800105,17.246400322580637,0.08426758346956381,-0.7345032772806963
7,1320.067362648245,36.33273128527836,30.333312258064517,0.1671783110225614,-0.270464692929679
8,351.3277813075036,18.743739789793914,14.127358214285712,0.08509464276457572,-1.0328811341130906
9,347.9673485892258,18.653882935979464,16.384707741935483,0.08626188372609495,-0.12111098793823305
10,574.1961390323432,23.96239009431954,18.146881,0.07555751347329723,-0.6820362609496695
11,1125.4933160536582,33.54837277802991,24.602934838709675,0.14719097999060254,-1.070060976376721
Mean,671.9250053434603,24.924488346469648,19.763592926100866,0.09302848218233978,-0.7351504587686067
