,MSE,RMSE,MAE,MAPE,R2
0,0.00037837300460198496,0.019451812373195074,0.015498093110146698,0.06618858072333526,0.8452432619548381
1,8.214697151094237e-05,0.009063496649248697,0.006890257506899984,0.03716198601217831,0.6516258827616948
2,0.0006105457907884397,0.024709224811564602,0.01809724663473529,0.05470842187951658,0.9110392238717291
3,0.0006863865622539936,0.026198980175838785,0.01826266792722829,0.04987627124378647,0.6464917557492385
4,0.00014673849830570515,0.012113566704555068,0.008919610872491714,0.025327689177035515,0.7898383638876373
5,0.0002647403445098315,0.01627084338655595,0.013132334059201554,0.03541766484158921,0.6548361657331787
6,0.00020754231717308138,0.014406329066527718,0.011218123620530082,0.039967204317463305,0.7006538523404235
7,9.94727964278696e-05,0.009973604986556747,0.007431746970829806,0.032554915664478996,0.8946504499154639
8,0.00026156696864700036,0.016173032141407508,0.011825801455048138,0.050165648427570604,0.793212696861257
9,0.00011346943414293804,0.010652203252986587,0.007953074771969406,0.03313508435498077,0.5255915342257795
10,8.261157827761482e-05,0.00908909116895715,0.006661877018837611,0.027845173799529672,0.79611009703486
11,0.0001205294635789431,0.01097859114727127,0.008472600038688473,0.06443042093665702,0.9097270159580922
Mean,0.00025451031085152865,0.014923397988722093,0.011196952832217255,0.04306492178151014,0.7599183583578494
