,MSE,RMSE,MAE,MAPE,R2
0,0.001009664762729759,0.03177374502149663,0.025756301214129463,0.0476595018994519,0.8084747941608462
1,0.0005321368076897543,0.02306772931889313,0.018493346814199955,0.037298837970841686,0.7399686268381931
2,0.0010699353317053391,0.032708816108475335,0.026158063247345643,0.03505373473446251,0.6624891189220765
3,0.002182440282046359,0.046715100445258895,0.03742818813880392,0.047921017548002424,0.7139599411093623
4,0.0012664076927880318,0.03556927601886192,0.028412492517881072,0.03081237728670565,0.7970607236151664
5,0.002110764984664438,0.045937706066648286,0.034382154384172005,0.0330609912201586,0.2544519944557677
6,0.001407711456275717,0.03751784152054857,0.02894316417861717,0.030140684450063533,0.5385246066444515
7,0.0011515255441497524,0.03393283112812708,0.024624302405336695,0.03502629997279034,0.9032015270188832
8,0.0010976128208827008,0.03311638101406385,0.025978743936297437,0.037775837307247165,0.532927848069269
9,0.00047769317171942666,0.02184854878142058,0.01700125671337174,0.025497838537373998,0.8950891429194089
10,0.0006126224595816068,0.024751030877611057,0.019089676085881368,0.02626877136179415,0.7597284887172835
11,0.000961607235363739,0.031007629660200122,0.025021729977958682,0.04835614570457583,0.8712608787308368
Mean,0.0011566768791330519,0.033162219663467114,0.02594078496783293,0.03623933649945565,0.7064281409334621
