,MSE,RMSE,MAE,MAPE,R2
0,0.0006190266754547966,0.024880246692000396,0.018971054804184616,0.05399099400346412,0.805309031159888
1,0.00012710569503677447,0.011274116153241214,0.008608923755268847,0.03022532850185226,0.8114015961323044
2,0.00033692108535347744,0.018355410247485004,0.014832809839348841,0.03724088511086087,0.7936820727827819
3,0.0010699399530797176,0.03270993661075664,0.021938381241223166,0.05208874464459646,0.7196030765847781
4,0.00038431644801651933,0.019603990614579455,0.01566931983484145,0.035247247675415566,0.5010158944960275
5,0.0015316479080365398,0.03913627355838238,0.029455869298129104,0.052907581566497955,0.6636987847331983
6,0.00045377685718521845,0.021302038803485888,0.014833367049811245,0.040087875289771674,0.735469064744102
7,0.00024469520146756855,0.015642736380428093,0.011590778054717185,0.039942605355125275,0.8710261922852882
8,0.0002642696743269184,0.016256373344842888,0.013682511383800682,0.05231666178640199,0.7054934914191977
9,0.00012086641396432115,0.010993926230620303,0.008738497299298062,0.03608204249146244,0.8392918655423656
10,0.00012455015795567284,0.011160204207615237,0.009327694000779522,0.03958340244543398,0.7514715669203733
11,0.00028548341313740607,0.016896254411478483,0.012404525934786172,0.0863745677047957,0.8003264079379847
Mean,0.0004635499569179108,0.01985095893790967,0.01500447770801574,0.046340661381306526,0.7498157537281909
