,MSE,RMSE,MAE,MAPE,R2
0,0.0004535057829158263,0.021295675216245816,0.01676273912900543,0.07198194218158292,0.814513522912405
1,8.28147411339178e-05,0.009100260498135084,0.007328886098780144,0.03928783536277962,0.6487939627451225
2,0.0007239798031660894,0.02690687278681953,0.01946900002747116,0.05890222137329231,0.8945110978364514
3,0.0007720253008860075,0.027785343274575672,0.019382911820127944,0.053413135055327327,0.6023854142232073
4,0.0001470749505643379,0.012127446168272112,0.008830111192239474,0.02514892622347983,0.7893564906371653
5,0.0002891793468192908,0.017005274088331856,0.013331057325084205,0.03614347788128639,0.6229730216460657
6,0.00023870607120526436,0.015450115572553635,0.011928134299712033,0.0425109425437078,0.6557051891318271
7,0.00012171755907749945,0.01103256810889919,0.008010546608357245,0.03503890424703013,0.8710914888624778
8,0.000300519927908511,0.0173355106042052,0.012754583135135663,0.05524774902928318,0.7624176104762028
9,0.00010979370413870856,0.010478249096996529,0.008152648057530748,0.03411961831596587,0.5409595268933918
10,9.186716730915012e-05,0.009584736162730308,0.007342695372644269,0.030734602032728073,0.7732667960246395
11,0.00015199643649462872,0.012328683485864527,0.00899928089105467,0.06790591637619633,0.8861591889760672
Mean,0.00029026506596826937,0.015869227921969122,0.011857716163095248,0.045869605885221654,0.7385111091970854
