,MSE,RMSE,MAE,MAPE,R2
0,0.0027285131836746693,0.05223034114027445,0.03964401777777782,0.05264811119545897,0.8521150072164474
1,0.0006870968117985468,0.026211828870445274,0.019573915053763418,0.030782633544053275,0.766635772159705
2,0.005558687252898697,0.07455421521832802,0.05702623118279559,0.05329521530093354,0.8597379807981077
3,0.004667105879498494,0.06830557027408715,0.04562970888888888,0.04283575162228029,0.7304868639729237
4,0.0015755842641246992,0.039686192515730655,0.02650330268817198,0.024503215288102318,-0.17903920005229987
5,0.0017618503686336927,0.04197311141864061,0.0330293272222222,0.029961295110123274,0.7933811769844903
6,0.0014734335355643799,0.038381558109315816,0.03067654784946233,0.035555537996056534,0.6009171651037186
7,0.0006333359030444341,0.02516604360270039,0.018083224193548367,0.02553393286781827,0.9089857314223176
8,0.0023367535455839864,0.04833675806049994,0.037625772619047614,0.04955365599404802,0.607350540954637
9,0.0006284839546405616,0.025069110028392735,0.01917682956989242,0.024595616709665025,0.6867054209227238
10,0.0007340773426350867,0.0270925037765523,0.02111589722222226,0.029121713863983514,0.8227778041391133
11,0.0010762712312494872,0.032805236921566394,0.023409275641025632,0.049548394525030674,0.8568174090339161
Mean,0.0019884327727788947,0.041651039161377815,0.030957837492401538,0.03732792283479614,0.69223930605465
