,MSE,RMSE,MAE,MAPE,R2
0,3302082.3534858883,1817.1612706282679,1432.6770222222221,0.040412812198429626,0.39857973482130477
1,1196514.6515803656,1093.8530662000755,887.6405806451613,0.02558040306396066,0.874922927797968
2,2135113.717661967,1461.2028021200292,1188.3709784946232,0.026162360437333363,0.7924623920359846
3,3348737.423273833,1829.9554197610214,1355.3846333333333,0.02994851740015776,0.6487924057125753
4,4042470.48465199,2010.5873801310954,1596.165580645161,0.02770599540056723,0.8364607770982685
5,3890640.2332253675,1972.4702343293266,1519.0409444444442,0.02541064018032845,0.6985288861114948
6,2923444.7959100963,1709.807992537664,1207.3534086021502,0.024767412941811423,0.5885806501064987
7,1322452.3520358508,1149.9787285803638,791.759376344086,0.019588617140006766,0.8865988960022119
8,3037476.696899868,1742.8358182096708,1199.8745357142852,0.029408980850515073,0.5134734126743561
9,1784394.8416082256,1335.8122330264482,1011.1903978494623,0.024404580169322895,0.7868092599432798
10,1101125.2211954433,1049.3187395361715,856.7623111111105,0.020947927052840928,0.823903495037293
11,1957046.1363069878,1398.9209026898197,1083.2724230769236,0.03400272335693257,0.8450234962591643
Mean,2503458.242319657,1547.6587156458297,1177.4576827069136,0.027361747516017224,0.7245113611333668
